Plot #,Plot ID,Sub Plot,Blade Length (cm),Blade Max Width (cm) ,Blade Width @ 10cm (cm),Blade thickness (mm),Stipe Length (cm),Stipe diamter (mm),Stipe Hollow (Y/N),Bullations (Y/N),Fouling ,Crinkle,Sorrus Tissue (Y/N),Sorus Area (cm^2),Other Comments
1,SL18-UCONN-1,1,7.5,1.7,N/A,0.3,4.5,1.6,No,No,No,,No,,
1,SL18-UCONN-1,2,14,1.6,1.2,0.3,3.2,1.3,No,No,Yes,,No,,
1,SL18-UCONN-1,1,14.5,1.4,1.2,0.4,5,1.9,No,No,Yes,Hydroid/Splitting Meristem,No,,
1,SL18-UCONN-1,2,15,2.1,2,0.4,6.5,2.1,No,No,Yes,,No,,
1,SL18-UCONN-1,1,21.5,1.9,1.5,0.4,4.9,2,No,No,No,Spliting Maristem,No,,
1,SL18-UCONN-1,1,21.5,2.1,2.1,0.4,8.5,2.3,No,No,Yes,Snail Egg,No,,
1,SL18-UCONN-1,2,22.5,2.5,2,0.4,5,1.8,No,No,Yes,,No,,
1,SL18-UCONN-1,2,47.5,2.7,2.7,0.6,14.7,3,No,No,Yes,,No,,
1,SL18-UCONN-1,1,52.4,4.6,4.5,0.6,23.5,4,No,No,Yes,,No,,
1,SL18-UCONN-1,1,58.5,5.3,5.3,0.5,11.5,3.4,No,No,Yes,,No,,
1,SL18-UCONN-1,1,63,4.6,4.7,0.6,29.2,3.7,Yes,No,Yes,,No,,
1,SL18-UCONN-1,2,70.5,4.2,4,0.8,23.2,3,Yes,No,Yes,,No,,
1,SL18-UCONN-1,2,87,4.7,4.5,0.7,17.2,3,No,No,Yes,Snail,No,,
1,SL18-UCONN-1,1,100,7.3,5.6,0.7,45,4.7,Yes,No,Yes,,No,,
1,SL18-UCONN-1,3,143.5,7.9,3.7,0.9,41.5,5.7,Yes,No,Yes,DNA/Snail Egg,No,,
2,SL18-UCONN-2,4,2.4,0.6,-,0.1,1.6,1,No,No,No,,,,
2,SL18-UCONN-2,4,3.4,0.7,-,0.1,1.6,1,No,No,No,,,,
2,SL18-UCONN-2,3,9.2,1.7,-,0.1,0.3,0.1,No,No,No,,,,
2,SL18-UCONN-2,3,11.4,2,0.6,0.2,0.9,0.4,No,No,No,,,,
2,SL18-UCONN-2,4,20.5,3.3,3,0.4,1.5,0.6,No,No,No,,,,
2,SL18-UCONN-2,5,25.4,3.4,3.4,0.2,1.7,0.7,No,No,No,,,,
2,SL18-UCONN-2,1,25.9,3.9,3.6,0.1,2.8,1.6,No,No,No,,,,
2,SL18-UCONN-2,3,35,4,3.9,0.4,2.5,1.2,No,No,No,,,,
