Plot #,Plot ID,Female Parent,Female Parent Location,Male Parent,Male Parent Location ,Location Cross (F/M),Line,Block ,Date,Time,Recorder,Photo,Wet Weight of Plot (kg),Length of Plot (m),DNA Sample,Comments,Sample 1 Wet Weight (g),Sample 1 # of Blades,Sample 2 Wet Weight (g),Sample 2 # of Blades,Sample 3 Wet Weight (g),Sample 3 # of Blades,Sample 4 Wet Weight (g),Sample 4 # of Blades,Sample 5 Wet Weight (g),Sample 5 # of Blades,# of Blades (5cm),Density (Blades/m),Sample 6 Wet Weight (g),Sample 6 # of Blades,Sample 7 Wet Weight (g),Sample 7 # of Blades,Sample 8 Wet Weight (g),Sample 8 # of Blades,Sample 9 Wet Weight (g),Sample 9 # of Blades,Sample 10 Wet Weight (g),Sample 10 # of Blades,Total Weight of sub-sample (g),Dry Weight (g),% Dry Weight,Weight per Meter (kg/m),Dry Weight Yield (kg/m),DNA in lab?,Development,Moisture (%),Protein (%),Fat (%),Fiber (%),Ash (%)
1,SL18-UCONN-1,SA18-CB-10-F1,CB,SL18-SF-19-M2,SF,CBxSF,2,7,5/30/19,9:47:00,Liana,Yes,7.25,0.88,Yes,10 extra blades in sample not measured,93.1,8,63.8,6,96.5,5,114.8,4,38.9,2,25,500,,,,,,,,,,,407.1,23.31,5.73,8.238636364,0.42,y,4,,,,,
2,SL18-UCONN-2,SA18-CB-10-F2,CB,SL18-LL-9-M1,LL,CBxLL,4,6,5/31/19,12:23:00,Simona,Yes,2.16,0.86,Yes,,31.8,3,2.5,1,0,0,0,0,1.6,1,5,100,3.7,3,1.3,3,,,,,,,40.9,3.72,9.10,2.511627907,0.20,y,1,,,,,
3,SL18-UCONN-3,SA18-CB-4-F3,CB,SA18-CB-4-M3,CB,CBxCB,1,9,5/30/19,,,Yes,2.68,0.96,Yes,,0,0,49.81,3,29.81,1,22.26,2,8.59,2,8,160,53.38,2,,,,,,,,,163.85,13.60,8.30,2.791666667,0.22,y,4,,,,,
4,SL18-UCONN-4,SA18-CB-5-F1,CB,SA18-CB-10-M1,CB,CBxCB,1,4,5/30/19,11:43:00,,Yes,0.39,0.83,Yes,skinny x skiny cross,0,0,0,0,0,0,0,0,0,0,0,0,111.1,3,49,2,23.1,2,24.4,1,10.9,1,218.5,18.48,8.46,0.4698795181,0.03,y,1,,,,,
5,SL18-UCONN-5,SA18-CB-7-F1,CB,SL18-LL-9-M3,LL,CBxLL,2,7,5/30/19,8:52:00,Simona,Yes,4.66,0.86,Yes,,129.4,4,50,1,145.4,3,34.8,1,80.1,3,12,240,,,,,,,,,,,439.7,35.73,8.13,5.418604651,0.38,y,4,8,11.69,1.35,10.32,38.44
6,SL18-UCONN-6,SL18-LD-10-F1,LD,SA18-CB-1-M2,CB,LDxCB,3,8,5/31/19,8:35:00,Simona,Yes,2.69,0.93,Yes,,48,2,35,4,88.7,2,142,7,1.3,1,16,320,,,,,,,,,,,315,30.80,9.78,2.892473118,0.26,y,1,,,,,
7,SL18-UCONN-7,SL18-LD-10-F1,LD,SL18-NL-6-M1,NL,LDxNL,2,5,5/30/19,,,No,0.07,1,,No growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,0,0.00,,1,,,,,
8,SL18-UCONN-8,SL18-LD-10-F1,LD,SL18-OI-15-M1,OI,LDxOI,2,3,5/29/19,18:35:00,Maggie,Yes,0.77,0.85,Yes,,0,0,0,0,0,0,0,0,62,1,1,20,115,1,94,2,52,2,64,2,,,387,42.40,10.96,0.9058823529,0.08,y,1,8.14,9.51,0.95,8.87,30.43
9,SL18-UCONN-9,SL18-LD-10-F1,LD,SL18-OI-18-M1,OI,LDxOI,2,1,5/29/19,13:45:00,Tricia,Yes,1.33,0.8,Yes,"big blades, not too dense",108,1,13.7,1,28.4,1,40.6,1,0,0,4,80,23.7,1,,,,,,,,,214.4,25.44,11.87,1.6625,0.16,y,1,,,,,
10,SL18-UCONN-10,SL18-LD-10-F1,LD,SL18-OI-4-M1,OI,LDxOI,3,9,5/31/19,9:09:00,Simona,Yes,2.58,0.95,Yes,,39.6,2,4,1,23,2,72.7,2,40.1,3,10,200,,,,,,,,,,,179.4,16.12,8.99,2.715789474,0.23,y,1,,,,,
11,SL18-UCONN-11,SL18-LD-10-F2,LD,SA18-CB-7-M2,CB,LDxCB,2,6,5/30/19,,,Yes,4.7,0.98,No,,93,4,33,1,69,2,30,4,126.9,8,19,380,,,,,,,,,,,351.9,28.73,8.16,4.795918367,0.38,,4,,,,,
12,SL18-UCONN-12,SL18-LD-10-F2,LD,SL18-NL-3-M2,NL,LDxNL,2,1,5/29/19,12:42:00,Tricia,Yes,0.96,0.79,Yes,,10,5,1.2,1,0,0,26.9,7,0,0,13,260,44.1,5,36.5,3,,,,,,,118.7,13.94,11.74,1.215189873,0.11,y,1,,,,,
13,SL18-UCONN-13,SL18-LD-10-F3,LD,SL18-SF-19-M1,SF,LDxSF,2,6,5/30/19,,,Yes,0.96,0.91,Yes,,1,1,36,1,0,0,0,0,0,0,2,40,85,2,27,2,10,2,,,,,159,16.38,10.30,1.054945055,0.10,y,1,,,,,
14,SL18-UCONN-14,SL18-LD-13-F2,LD,SL18-LD-13-M2,LD,LDxLD,1,5,5/30/19,12:55:00,,Yes,3.27,0.93,Yes,,109.8,5,50.6,6,0,0,105.2,8,72.5,2,21,420,99.2,7,,,,,,,,,437.3,40.10,9.17,3.516129032,0.30,y,4,9.05,10.98,0.87,5.85,42.63
15,SL18-UCONN-15,SL18-LD-1-F1,LD,SA18-CB-2-M2,CB,LDxCB,2,8,5/29/19,11:15:00,Michael,Yes,0.62,0.78,Yes,Low density,0,0,0,0,0,0,0,0,0,0,0,0,8.4,1,2,3,54.2,2,3,2,42.3,1,109.9,11.49,10.45,0.7948717949,0.06,y,1,,,,,
