gpSex index WWP DWpM PDW BDns SPdv BLen BMax B10 BThk SLen SDia
SL18-LD-2-F2 F 0.262 0.162 0.03 0.202 -2.223 -0.807 -0.109 0.755 0.855 -0.144 0.563 0.292
SL18-SF-19-M1 M 0.245 -0.016 0.034 0.178 86.812 -0.187 0.471 0.287 0.132 0.158 0.58 0.46
SA18-CB-7-M2 M 0.218 0.621 0.109 0 70.655 1.721 -0.882 -0.322 0.165 -0.011 0.413 -0.331
SL18-SF-13-M2 M 0.19 0.237 0.023 0.144 48.536 0.436 0.022 0.586 0.545 -0.035 -0.688 -0.278
SA18-CB-7-F1 F 0.179 0.667 0.088 0.004 65.918 1.278 -0.447 -0.302 -0.063 0.123 0.742 0.48
SL18-OI-18-F5 F 0.168 0.282 0.073 0.022 3.696 -0.207 0.693 -0.434 -0.551 0.184 0.26 0.079
SL18-SF-19-M2 M 0.162 0.227 0.049 0.065 136.869 0.201 0.091 -0.355 -0.485 0.068 0.307 0.146
SL18-LD-13-M2 M 0.148 0.385 0.039 0.069 151.272 0.917 -0.282 0.056 -0.034 -0.152 0.127 0.023
SA18-CB-7-M3 M 0.147 0.258 0.067 0.012 25.52 0.522 -0.592 0.185 0.395 0.046 -2.893 -0.478
SL18-SF-13-F1 F 0.136 -0.02 0.003 0.129 -19.531 0.666 0.42 1.127 0.889 0.069 -0.325 -0.055
SL18-OI-14-M2 M 0.132 0.119 0.073 -0.013 -21.267 0.286 0.463 0.361 0.294 0.048 1.216 0.566
SA18-CB-7-M1 M 0.132 0.662 0.075 -0.019 63.544 0.963 0.183 0.373 0.356 0.068 0.816 0.283
SL18-OI-15-F1 F 0.132 0.41 0.067 -0.002 9.103 1.792 -0.14 0.02 -0.083 0.001 0.996 0.217
SL18-LD-13-F2 F 0.127 0.322 0.028 0.071 91.063 0.595 -0.684 -0.085 0.039 -0.076 -2.021 -0.556
SL18-SF-15-M2 M 0.124 0.768 0.104 -0.083 73.373 1.35 0.586 0.021 -0.448 -0.232 0.714 -0.071
SL18-SF-13-M3 M 0.123 0.218 0.011 0.101 46.636 0.388 -0.17 0.133 0.117 0.024 -0.158 -0.089
SL18-NL-6-F1 F 0.119 1.067 0.152 -0.185 380.048 2.593 0.272 0.393 0.364 0.02 0.148 0.042
SL18-LD-13-M3 M 0.115 -0.275 -0.011 0.138 -27.283 -0.29 -0.375 -0.629 -0.467 0.081 0.541 0.16
SL18-LD-2-M1 M 0.11 -0.001 -0.017 0.145 22.084 -0.704 -0.197 0.61 0.623 -0.247 -0.095 0.081
SL18-OI-15-M1 M 0.109 0.503 0.08 -0.051 72.495 0.904 -0.118 -0.501 -0.429 0.044 -0.63 -0.467
