gpSex index WWP DWpM PDW BDns SPdv BLen BMax B10 BThk SLen SDia
SL18-NL-6-F1 F 0.119 1.067 0.152 -0.185 380.048 2.593 0.272 0.393 0.364 0.02 0.148 0.042
SA18-CB-7-M2 M 0.218 0.621 0.109 0 70.655 1.721 -0.882 -0.322 0.165 -0.011 0.413 -0.331
SA18-CB-1-M2 M 0.103 0.972 0.104 -0.106 134.734 -0.44 -0.423 -0.608 -0.475 0.084 -0.316 -0.119
SL18-SF-15-M2 M 0.124 0.768 0.104 -0.083 73.373 1.35 0.586 0.021 -0.448 -0.232 0.714 -0.071
SA18-CB-7-F1 F 0.179 0.667 0.088 0.004 65.918 1.278 -0.447 -0.302 -0.063 0.123 0.742 0.48
SL18-OI-15-M1 M 0.109 0.503 0.08 -0.051 72.495 0.904 -0.118 -0.501 -0.429 0.044 -0.63 -0.467
SA18-CB-7-M1 M 0.132 0.662 0.075 -0.019 63.544 0.963 0.183 0.373 0.356 0.068 0.816 0.283
SL18-OI-18-F5 F 0.168 0.282 0.073 0.022 3.696 -0.207 0.693 -0.434 -0.551 0.184 0.26 0.079
SL18-OI-14-M2 M 0.132 0.119 0.073 -0.013 -21.267 0.286 0.463 0.361 0.294 0.048 1.216 0.566
SL18-NL-2-F1 F 0.066 0.187 0.072 -0.078 73.801 0.886 -0.581 -0.322 -0.03 0.047 -0.638 -0.368
SA18-CB-7-M3 M 0.147 0.258 0.067 0.012 25.52 0.522 -0.592 0.185 0.395 0.046 -2.893 -0.478
SL18-OI-15-F1 F 0.132 0.41 0.067 -0.002 9.103 1.792 -0.14 0.02 -0.083 0.001 0.996 0.217
SL18-OI-18-F1 F 0.091 0.538 0.066 -0.041 43.995 0.502 0.976 0.273 -0.132 0.006 1.454 0.517
SA18-CB-4-M3 M -0.033 0.64 0.064 -0.161 46.8 1.45 0.39 -0.111 -0.166 0.028 -0.439 -0.092
SL18-OI-15-M2 M 0.094 0.398 0.062 -0.03 86.17 0.469 0.417 0.414 0.149 0.213 -0.4 0.023
SL18-OI-18-F2 F 0.086 0.526 0.06 -0.034 55.497 -0.692 0.672 0.566 0.416 -0.056 0.506 0.488
SA18-CB-10-F1 F -0.008 0.688 0.052 -0.112 97.836 0.855 -0.167 -0.569 -0.497 0.103 1.229 0.422
SL18-OI-17-F1 F 0.042 0.467 0.051 -0.061 64.48 0.903 1.228 0.555 0.13 -0.037 2.511 0.813
SL18-SF-19-M2 M 0.162 0.227 0.049 0.065 136.869 0.201 0.091 -0.355 -0.485 0.068 0.307 0.146
SA18-CB-10-F2 F 0.01 0.589 0.047 -0.085 42.966 0.386 -0.078 -0.015 0.152 -0.124 0.439 0.117
