pedigree gpSex index WWP DWpM PDW BDns SPdv BLen BMax B10 BThk SLen SDia
SL18-UCONN-S35 SL18-LD-2-F2xSL18-SF-19-M1 NA 0.253 0.073 0.032 0.19 42.295 -0.497 0.181 0.521 0.494 0.007 0.572 0.376
SL18-UCONN-S95 SL18-NL-6-F1xSA18-CB-7-M2 NA 0.169 0.844 0.131 -0.092 225.352 2.157 -0.305 0.036 0.265 0.005 0.281 -0.144
SL18-UCONN-S157 SL18-OI-18-F5xSL18-SF-15-M2 NA 0.146 0.525 0.088 -0.03 38.535 0.571 0.64 -0.206 -0.5 -0.024 0.487 0.004
SL18-UCONN-S105 SL18-NL-6-F1xSL18-SF-19-M2 NA 0.141 0.647 0.1 -0.06 258.459 1.397 0.182 0.019 -0.061 0.044 0.228 0.094
SL18-UCONN-S155 SL18-OI-18-F5xSL18-LD-2-M1 NA 0.139 0.14 0.028 0.083 12.89 -0.455 0.248 0.088 0.036 -0.032 0.082 0.08
SL18-UCONN-S14 SL18-LD-13-F2xSL18-LD-13-M2 NA 0.138 0.354 0.034 0.07 121.168 0.756 -0.483 -0.014 0.003 -0.114 -0.947 -0.266
SL18-UCONN-S101 SL18-NL-6-F1xSL18-OI-14-M2 NA 0.126 0.593 0.112 -0.099 179.391 1.44 0.368 0.377 0.329 0.034 0.682 0.304
SL18-UCONN-S11 SL18-LD-10-F2xSA18-CB-7-M2 NA 0.122 0.268 0.032 0.057 32.448 0.594 -0.306 -0.176 0.043 0.002 0.523 -0.087
SL18-UCONN-S143 SL18-OI-17-F1xSL18-SF-13-M2 NA 0.116 0.352 0.037 0.042 56.508 0.67 0.625 0.571 0.338 -0.036 0.912 0.268
SL18-UCONN-S5 SA18-CB-7-F1xSL18-LL-9-M3 NA 0.116 0.207 0.021 0.073 -12.157 0.495 -0.145 -0.16 -0.104 0.074 0.738 0.312
SL18-UCONN-S97 SL18-NL-6-F1xSL18-LD-2-M1 NA 0.115 0.533 0.068 -0.02 201.066 0.945 0.038 0.502 0.493 -0.113 0.027 0.062
SL18-UCONN-S102 SL18-NL-6-F1xSL18-OI-15-M1 NA 0.114 0.785 0.116 -0.118 226.271 1.748 0.077 -0.054 -0.033 0.032 -0.241 -0.212
SL18-UCONN-S33 SL18-LD-2-F2xSL18-LL-9-M2 NA 0.113 0.087 -0.009 0.131 1.825 -0.662 0.091 0.251 0.287 -0.067 -0.631 -0.134
SL18-UCONN-S147 SL18-OI-18-F2xSA18-CB-7-M1 NA 0.109 0.594 0.068 -0.026 59.521 0.135 0.427 0.469 0.386 0.006 0.661 0.386
SL18-UCONN-S75 SL18-NL-2-F1xSL18-LD-13-M2 NA 0.107 0.286 0.056 -0.004 112.537 0.901 -0.431 -0.133 -0.032 -0.052 -0.256 -0.173
SL18-UCONN-S189 SL18-SF-13-F1xSL18-LL-9-M3 NA 0.094 -0.137 -0.021 0.136 -54.882 0.189 0.289 0.555 0.372 0.047 0.204 0.045
SL18-UCONN-S32 SL18-LD-2-F2xSA18-CB-3-M3 NA 0.092 0.173 0.033 0.026 -12.921 -0.152 0.117 0.419 0.449 -0.117 0.788 0.27
SL18-UCONN-S13 SL18-LD-10-F3xSL18-SF-19-M1 NA 0.088 -0.258 -0.029 0.147 -22.141 -0.635 0.621 -0.125 -0.218 0.146 1.072 0.495
SL18-UCONN-S73 SL18-NL-2-F1xSA18-CB-1-M2 NA 0.085 0.579 0.088 -0.092 104.267 0.223 -0.502 -0.465 -0.252 0.066 -0.477 -0.244
SL18-UCONN-S46 SL18-LD-4-F2xSL18-SF-15-M2 NA 0.085 0.383 0.042 0.001 25.029 0.121 0.016 0.042 -0.181 -0.106 0.62 -0.002
