pedigree gpSex index WWP DWpM PDW BDns SPdv BLen BMax B10 BThk SLen SDia
SL18-UCONN-S95 SL18-NL-6-F1xSA18-CB-7-M2 NA 0.169 0.844 0.131 -0.092 225.352 2.157 -0.305 0.036 0.265 0.005 0.281 -0.144
SL18-UCONN-S102 SL18-NL-6-F1xSL18-OI-15-M1 NA 0.114 0.785 0.116 -0.118 226.271 1.748 0.077 -0.054 -0.033 0.032 -0.241 -0.212
SL18-UCONN-S101 SL18-NL-6-F1xSL18-OI-14-M2 NA 0.126 0.593 0.112 -0.099 179.391 1.44 0.368 0.377 0.329 0.034 0.682 0.304
SL18-UCONN-S105 SL18-NL-6-F1xSL18-SF-19-M2 NA 0.141 0.647 0.1 -0.06 258.459 1.397 0.182 0.019 -0.061 0.044 0.228 0.094
SL18-UCONN-S94 SL18-NL-6-F1xSA18-CB-3-M3 NA 0.021 0.625 0.094 -0.168 178.215 1.548 0.308 0.238 0.204 -0.035 0.581 0.145
SL18-UCONN-S73 SL18-NL-2-F1xSA18-CB-1-M2 NA 0.085 0.579 0.088 -0.092 104.267 0.223 -0.502 -0.465 -0.252 0.066 -0.477 -0.244
SL18-UCONN-S157 SL18-OI-18-F5xSL18-SF-15-M2 NA 0.146 0.525 0.088 -0.03 38.535 0.571 0.64 -0.206 -0.5 -0.024 0.487 0.004
SL18-UCONN-S104 SL18-NL-6-F1xSL18-SF-17-M1 NA 0.071 0.638 0.084 -0.097 167.878 1.612 -0.035 0.147 0.119 -0.012 0.032 0.031
SL18-UCONN-S103 SL18-NL-6-F1xSL18-OI-16-M1 NA 0.014 0.558 0.076 -0.138 205.814 1.576 0.194 0.099 -0.049 0.053 0.247 0.025
SL18-UCONN-S99 SL18-NL-6-F1xSL18-NL-2-M1 NA 0.003 0.361 0.07 -0.136 178.368 1.393 0.24 0.579 0.515 0.006 -0.231 0.038
SL18-UCONN-S154 SL18-OI-18-F5xSA18-CB-4-M3 NA 0.068 0.461 0.068 -0.069 25.248 0.622 0.542 -0.273 -0.359 0.106 -0.09 -0.007
SL18-UCONN-S147 SL18-OI-18-F2xSA18-CB-7-M1 NA 0.109 0.594 0.068 -0.026 59.521 0.135 0.427 0.469 0.386 0.006 0.661 0.386
SL18-UCONN-S97 SL18-NL-6-F1xSL18-LD-2-M1 NA 0.115 0.533 0.068 -0.02 201.066 0.945 0.038 0.502 0.493 -0.113 0.027 0.062
SL18-UCONN-S100 SL18-NL-6-F1xSL18-OI-11-M2 NA 0.03 0.532 0.065 -0.1 169.806 1.414 0.205 -0.078 -0.174 0.013 0.396 0.021
SL18-UCONN-S158 SL18-OI-18-F6xSA18-CB-1-M2 NA 0.052 0.579 0.063 -0.074 86.764 -0.48 0.182 -0.324 -0.29 0.111 0.049 0.062
SL18-UCONN-S98 SL18-NL-6-F1xSL18-LD-3-M2 NA 0.023 0.462 0.056 -0.089 155.717 0.648 0.201 0.162 0.199 -0.052 -0.15 0.041
SL18-UCONN-S75 SL18-NL-2-F1xSL18-LD-13-M2 NA 0.107 0.286 0.056 -0.004 112.537 0.901 -0.431 -0.133 -0.032 -0.052 -0.256 -0.173
SL18-UCONN-S128 SL18-OI-15-F1xSL18-SF-15-M1 NA 0.079 0.304 0.055 -0.031 29.013 0.91 -0.263 0.104 0.138 -0.023 0.263 0.094
SL18-UCONN-S124 SL18-OI-11-F1xSL18-SF-15-M2 NA 0.03 0.545 0.053 -0.077 54.361 0.997 0.796 -0.291 -0.481 0.006 -0.066 -0.093
SL18-UCONN-S125 SL18-OI-15-F1xSA18-CB-2-M3 NA 0.074 0.418 0.053 -0.031 -2.988 0.779 0.158 0.204 0.145 -0.001 0.122 0.051
