plotNo,PlotNo_Numeric,Order_readin,Order_In_Plot,crossID,Region,Year,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter,stipeHollow,bullations,fouling
1,1,1,1,SL18-UCONN-1,GOM,2019,7.5,1.7,0.3,4.5,1.6,No,No,No
1,1,2,1,SL18-UCONN-1,GOM,2019,14,1.6,0.3,3.2,1.3,No,No,Yes
1,1,3,1,SL18-UCONN-1,GOM,2019,14.5,1.4,0.4,5,1.9,No,No,Yes
1,1,4,1,SL18-UCONN-1,GOM,2019,15,2.1,0.4,6.5,2.1,No,No,Yes
1,1,5,1,SL18-UCONN-1,GOM,2019,21.5,1.9,0.4,4.9,2,No,No,No
1,1,6,1,SL18-UCONN-1,GOM,2019,21.5,2.1,0.4,8.5,2.3,No,No,Yes
1,1,7,1,SL18-UCONN-1,GOM,2019,22.5,2.5,0.4,5,1.8,No,No,Yes
1,1,8,1,SL18-UCONN-1,GOM,2019,47.5,2.7,0.6,14.7,3,No,No,Yes
1,1,9,1,SL18-UCONN-1,GOM,2019,52.4,4.6,0.6,23.5,4,No,No,Yes
1,1,10,1,SL18-UCONN-1,GOM,2019,58.5,5.3,0.5,11.5,3.4,No,No,Yes
1,1,11,1,SL18-UCONN-1,GOM,2019,63,4.6,0.6,29.2,3.7,Yes,No,Yes
1,1,12,1,SL18-UCONN-1,GOM,2019,70.5,4.2,0.8,23.2,3,Yes,No,Yes
1,1,13,1,SL18-UCONN-1,GOM,2019,87,4.7,0.7,17.2,3,No,No,Yes
1,1,14,1,SL18-UCONN-1,GOM,2019,100,7.3,0.7,45,4.7,Yes,No,Yes
1,1,15,1,SL18-UCONN-1,GOM,2019,143.5,7.9,0.9,41.5,5.7,Yes,No,Yes
2,2,16,2,SL18-UCONN-2,GOM,2019,2.4,0.6,0.1,1.6,1,No,No,No
2,2,17,2,SL18-UCONN-2,GOM,2019,3.4,0.7,0.1,1.6,1,No,No,No
2,2,18,2,SL18-UCONN-2,GOM,2019,9.2,1.7,0.1,0.3,0.1,No,No,No
2,2,19,2,SL18-UCONN-2,GOM,2019,11.4,2,0.2,0.9,0.4,No,No,No
2,2,20,2,SL18-UCONN-2,GOM,2019,20.5,3.3,0.4,1.5,0.6,No,No,No
2,2,21,2,SL18-UCONN-2,GOM,2019,25.4,3.4,0.2,1.7,0.7,No,No,No
2,2,22,2,SL18-UCONN-2,GOM,2019,25.9,3.9,0.1,2.8,1.6,No,No,No
2,2,23,2,SL18-UCONN-2,GOM,2019,35,4,0.4,2.5,1.2,No,No,No
2,2,24,2,SL18-UCONN-2,GOM,2019,37.5,2.5,0.2,3.1,1.1,No,No,No
2,2,25,2,SL18-UCONN-2,GOM,2019,49.5,5.3,0.2,5,1.6,No,No,No
