crossID,Order_1,Year,plotNo,Region,plotNo_Numeric,date,GrowDays,Pain2Plant,femaPar,femaParLoc,malePar,maleParLoc,Crosses,crossID,PlantingDens,development,line,position,block,PhotoScore,wetWgtPlot,lengthPlot,wetWgtPerM,percDryWgt,dryWgtPerM,densityBlades
SL18-UCONN-1,1,2019,1,GOM,1,5_30_2019,122,,SA18-CB-10-FG1,CB,SL18-SF-19-MG2,SF,SA18-CB-10-FG1xSL18-SF-19-MG2,SL18-UCONN-1,3,4,2,TBD,7,3,7.25,0.88,8.238636364,5.73,0.42,500
SL18-UCONN-2,2,2019,2,GOM,2,5_31_2019,122,,SA18-CB-10-FG2,CB,SL18-LL-9-MG1,LL,SA18-CB-10-FG2xSL18-LL-9-MG1,SL18-UCONN-2,1,1,4,TBD,6,3,2.16,0.86,2.511627907,9.1,0.2,100
SL18-UCONN-3,3,2019,3,GOM,3,5_30_2019,122,,SA18-CB-4-FG3,CB,SA18-CB-4-MG3,CB,SA18-CB-4-FG3xSA18-CB-4-MG3,SL18-UCONN-3,3,4,1,TBD,9,3,2.68,0.96,2.791666667,8.3,0.22,160
SL18-UCONN-4,4,2019,4,GOM,4,5_30_2019,122,,SA18-CB-5-FG1,CB,SA18-CB-10-MG1,CB,SA18-CB-5-FG1xSA18-CB-10-MG1,SL18-UCONN-4,1,1,1,TBD,4,1,0.39,0.83,0.469879518,8.46,0.03,0
SL18-UCONN-5,5,2019,5,GOM,5,5_30_2019,122,,SA18-CB-7-FG1,CB,SL18-LL-9-MG3,LL,SA18-CB-7-FG1xSL18-LL-9-MG3,SL18-UCONN-5,3,4,2,TBD,7,3,4.66,0.86,5.418604651,8.13,0.38,240
SL18-UCONN-6,6,2019,6,GOM,6,5_31_2019,122,,SL18-LD-10-FG1,LD,SA18-CB-1-MG2,CB,SL18-LD-10-FG1xSA18-CB-1-MG2,SL18-UCONN-6,2,1,3,TBD,8,3,2.69,0.93,2.892473118,9.78,0.26,320
SL18-UCONN-7,7,2019,7,GOM,7,5_30_2019,122,,SL18-LD-10-FG1,LD,SL18-NL-6-MG1,NL,SL18-LD-10-FG1xSL18-NL-6-MG1,SL18-UCONN-7,3,1,2,TBD,5,0,0.07,1,NA,NA,NA,0
SL18-UCONN-8,8,2019,8,GOM,8,5_29_2019,122,,SL18-LD-10-FG1,LD,SL18-OI-15-MG1,OI,SL18-LD-10-FG1xSL18-OI-15-MG1,SL18-UCONN-8,2,1,2,TBD,3,1,0.77,0.85,0.905882353,10.96,0.08,20
SL18-UCONN-9,9,2019,9,GOM,9,5_29_2019,122,,SL18-LD-10-FG1,LD,SL18-OI-18-MG1,OI,SL18-LD-10-FG1xSL18-OI-18-MG1,SL18-UCONN-9,1,1,2,TBD,1,3,1.33,0.8,1.6625,11.87,0.16,80
SL18-UCONN-10,10,2019,10,GOM,10,5_31_2019,122,,SL18-LD-10-FG1,LD,SL18-OI-4-MG1,OI,SL18-LD-10-FG1xSL18-OI-4-MG1,SL18-UCONN-10,2,1,3,TBD,9,3,2.58,0.95,2.715789474,8.99,0.23,200
SL18-UCONN-11,11,2019,11,GOM,11,5_30_2019,122,,SL18-LD-10-FG2,LD,SA18-CB-7-MG2,CB,SL18-LD-10-FG2xSA18-CB-7-MG2,SL18-UCONN-11,1,4,2,TBD,6,3,4.7,0.98,4.795918367,8.16,0.38,380
SL18-UCONN-12,12,2019,12,GOM,12,5_29_2019,122,,SL18-LD-10-FG2,LD,SL18-NL-3-MG2,NL,SL18-LD-10-FG2xSL18-NL-3-MG2,SL18-UCONN-12,2,1,2,TBD,1,3,0.96,0.79,1.215189873,11.74,0.11,260
SL18-UCONN-13,13,2019,13,GOM,13,5_30_2019,122,,SL18-LD-10-FG3,LD,SL18-SF-19-MG1,SF,SL18-LD-10-FG3xSL18-SF-19-MG1,SL18-UCONN-13,1,1,2,TBD,6,1,0.96,0.91,1.054945055,10.3,0.1,40
SL18-UCONN-14,14,2019,14,GOM,14,5_30_2019,122,,SL18-LD-13-FG2,LD,SL18-LD-13-MG2,LD,SL18-LD-13-FG2xSL18-LD-13-MG2,SL18-UCONN-14,3,4,1,TBD,5,3,3.27,0.93,3.516129032,9.17,0.3,420
SL18-UCONN-15,15,2019,15,GOM,15,5_29_2019,122,,SL18-LD-1-FG1,LD,SA18-CB-2-MG2,CB,SL18-LD-1-FG1xSA18-CB-2-MG2,SL18-UCONN-15,1,1,2,TBD,8,1,0.62,0.78,0.794871795,10.45,0.06,0
SL18-UCONN-16,16,2019,16,GOM,16,5_31_2019,122,,SL18-LD-1-FG1,LD,SL18-LD-10-MG3,LD,SL18-LD-1-FG1xSL18-LD-10-MG3,SL18-UCONN-16,2,1,3,TBD,9,1,0.6,0.85,0.705882353,12.57,0.08,100
SL18-UCONN-17,17,2019,17,GOM,17,5_30_2019,122,,SL18-LD-1-FG1,LD,SL18-NL-2-MG2,NL,SL18-LD-1-FG1xSL18-NL-2-MG2,SL18-UCONN-17,2,1,3,TBD,1,3,1.95,0.87,2.24137931,8.62,0.17,340
SL18-UCONN-18,18,2019,18,GOM,18,5_30_2019,122,,SL18-LD-1-FG1,LD,SL18-OI-18-MG1,OI,SL18-LD-1-FG1xSL18-OI-18-MG1,SL18-UCONN-18,1,1,3,TBD,1,3,1.9,0.86,2.209302326,9.74,0.18,340
SL18-UCONN-19,19,2019,19,GOM,19,5_30_2019,122,,SL18-LD-1-FG2,LD,SA18-CB-4-MG3,CB,SL18-LD-1-FG2xSA18-CB-4-MG3,SL18-UCONN-19,2,1,3,TBD,3,3,5.14,0.77,6.675324675,8.91,0.46,180
SL18-UCONN-20,20,2019,20,GOM,20,5_31_2019,122,,SL18-LD-1-FG2,LD,SL18-SF-13-MG3,SF,SL18-LD-1-FG2xSL18-SF-13-MG3,SL18-UCONN-20,2,1,3,TBD,6,3,2.42,0.84,2.880952381,9.16,0.22,380
SL18-UCONN-21,21,2019,21,GOM,21,5_30_2019,122,,SL18-LD-1-FG2,LD,SL18-SF-15-MG1,SF,SL18-LD-1-FG2xSL18-SF-15-MG1,SL18-UCONN-21,2,1,2,TBD,6,3,3.66,0.94,3.893617021,7.28,0.27,400
SL18-UCONN-22,22,2019,22,GOM,22,5_30_2019,122,,SL18-LD-1-FG3,LD,SA18-CB-3-MG3,CB,SL18-LD-1-FG3xSA18-CB-3-MG3,SL18-UCONN-22,1,1,1,TBD,7,1,0.25,0.75,0.333333333,10.04,0.03,0
SL18-UCONN-23,23,2019,23,GOM,23,5_31_2019,122,,SL18-LD-1-FG3,LD,SL18-NL-5-MG1,NL,SL18-LD-1-FG3xSL18-NL-5-MG1,SL18-UCONN-23,2,1,4,TBD,7,2,0.97,0.92,1.054347826,10.08,0.1,180
SL18-UCONN-24,24,2019,24,GOM,24,5_29_2019,122,,SL18-LD-1-FG3,LD,SL18-OI-11-MG2,OI,SL18-LD-1-FG3xSL18-OI-11-MG2,SL18-UCONN-24,2,1,2,TBD,3,3,2.65,0.84,3.154761905,11.31,0.3,300
SL18-UCONN-25,25,2019,25,GOM,25,5_30_2019,122,,SL18-LD-1-FG3,LD,SL18-OI-15-MG1,OI,SL18-LD-1-FG3xSL18-OI-15-MG1,SL18-UCONN-25,2,1,1,TBD,6,3,1.78,0.85,2.094117647,7.79,0.14,280
SL18-UCONN-26,26,2019,26,GOM,26,5_31_2019,122,,SL18-LD-1-FG3,LD,SL18-OI-16-MG1,OI,SL18-LD-1-FG3xSL18-OI-16-MG1,SL18-UCONN-26,2,1,4,TBD,9,3,1.3,1,1.3,8.58,0.11,140
SL18-UCONN-27,27,2019,27,GOM,27,5_30_2019,122,,SL18-LD-1-FG3,LD,SL18-OI-6-MG2,OI,SL18-LD-1-FG3xSL18-OI-6-MG2,SL18-UCONN-27,2,1,1,TBD,6,3,1.57,0.78,2.012820513,10.01,0.16,80
SL18-UCONN-28,28,2019,28,GOM,28,5_29_2019,122,,SL18-LD-1-FG3,LD,SL18-OI-7-MG1,OI,SL18-LD-1-FG3xSL18-OI-7-MG1,SL18-UCONN-28,2,1,2,TBD,7,3,2.21,0.94,2.35106383,8.41,0.19,460
SL18-UCONN-29,29,2019,29,GOM,29,5_30_2019,122,,SL18-LD-1-FG3,LD,SL18-OI-9-MG3,OI,SL18-LD-1-FG3xSL18-OI-9-MG3,SL18-UCONN-29,2,1,1,TBD,7,3,2.2,0.89,2.471910112,8.96,0.2,320
SL18-UCONN-30,30,2019,30,GOM,30,5_31_2019,122,,SL18-LD-1-FG3,LD,SL18-NL-9-MG2,SF,SL18-LD-1-FG3xSL18-NL-9-MG2,SL18-UCONN-30,1,1,4,TBD,8,2,1.03,0.87,1.183908046,11,0.11,60
SL18-UCONN-31,31,2019,31,GOM,31,5_30_2019,122,,SL18-LD-1-FG3,LD,SL18-OI-15-MG2,SF,SL18-LD-1-FG3xSL18-OI-15-MG2,SL18-UCONN-31,2,1,1,TBD,1,3,2.47,0.91,2.714285714,9.87,0.24,400
SL18-UCONN-32,32,2019,32,GOM,32,5_29_2019,122,,SL18-LD-2-FG2,LD,SA18-CB-3-MG3,CB,SL18-LD-2-FG2xSA18-CB-3-MG3,SL18-UCONN-32,2,1,2,TBD,7,3,3.01,0.89,3.382022472,7.07,0.21,220
SL18-UCONN-33,33,2019,33,GOM,33,5_29_2019,122,,SL18-LD-2-FG2,LD,SL18-LL-9-MG2,LL,SL18-LD-2-FG2xSL18-LL-9-MG2,SL18-UCONN-33,2,1,2,TBD,1,3,2.5,0.9,2.777777778,9.49,0.24,200
