pedigree index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
SL18-OI-6-FG3xSL18-JS-6-MG1 SL18-OI-6-FG3xSL18-JS-6-MG1 1.24438858482221 0.257 0.178 0.889 -10.41 0.121 -0.249 -0.246 0.06 0.017
SL18-OI-6-FG2xSL18-LD-2-MG2 SL18-OI-6-FG2xSL18-LD-2-MG2 0.95747025173456 0.535 0.242 0.473 -16.22 -0.337 -0.002 -0.098 -0.114 -0.22
SL18-OI-6-FG3xSL18-CC-11-MG5 SL18-OI-6-FG3xSL18-CC-11-MG5 0.804353812328732 0.642 0.226 0.353 33.821 0.006 -0.164 0.19 0.176 -0.067
SL18-OI-6-FG2xSA18-CB-4-MG2 SL18-OI-6-FG2xSA18-CB-4-MG2 0.704622685885059 0.567 0.255 0.194 -6.116 -0.095 0.009 -0.057 -0.373 -0.036
SL18-CC-3-FG1xSL18-JS-6-MG3 SL18-CC-3-FG1xSL18-JS-6-MG3 0.639441848131828 0.479 0.188 0.264 -5.086 0.258 -0.188 -0.3 0.203 -0.07
SL18-OI-4-FG2xSA18-CB-7-MG2 SL18-OI-4-FG2xSA18-CB-7-MG2 0.636718915921023 0.548 0.238 0.161 72.672 0.027 0.405 -0.656 -0.023 -0.342
SL18-CC-12-FG2xSL18-OI-15-MG2 SL18-CC-12-FG2xSL18-OI-15-MG2 0.596585194890023 0.866 0.273 0.051 52.542 -0.183 -0.024 -0.055 -0.54 -0.068
SL18-OI-17-FG4xSL18-JS-6-MG2 SL18-OI-17-FG4xSL18-JS-6-MG2 0.581009647588131 0.508 0.205 0.172 -1.869 0.119 0.081 -0.521 -0.274 -0.66
SA18-CB-4-FG6xSL18-JS-6-MG3 SA18-CB-4-FG6xSL18-JS-6-MG3 0.529743669209749 0.535 0.199 0.132 -17.373 0.136 -0.056 0.008 0.259 -0.116
SA18-CB-9-FG1xSL18-OI-7-MG3 SA18-CB-9-FG1xSL18-OI-7-MG3 0.480375926949651 0.608 0.209 0.063 22.526 0.304 0.183 -0.926 -0.804 -1.039
SL18-CC-3-FG2xSA18-CB-10-MG3 SL18-CC-3-FG2xSA18-CB-10-MG3 0.459282813968971 0.458 0.212 0.035 20.921 0.052 -0.306 0.041 -0.131 -0.324
SL18-CC-3-FG2xSL18-OD-6-MG1 SL18-CC-3-FG2xSL18-OD-6-MG1 0.43578932996516 0.449 0.164 0.107 12.271 0.197 -0.029 0.06 0.041 -0.42
SL18-SF-17-FG2xSA18-CB-7-MG3 SL18-SF-17-FG2xSA18-CB-7-MG3 0.419695783187315 0.554 0.184 0.051 10.307 0.114 0.112 -0.529 -0.313 -0.584
SL18-LD-1-FG3xSL18-OI-6-MG2 SL18-LD-1-FG3xSL18-OI-6-MG2 0.418916900329965 -0.068 0.021 0.376 -20.245 -0.292 -0.046 0.016 -0.211 -0.333
SL18-SF-17-FG2xSA18-CB-7-MG2 SL18-SF-17-FG2xSA18-CB-7-MG2 0.403230689704057 0.523 0.184 0.035 28.9 0.097 0.315 -0.505 0.148 -0.328
SL18-CC-12-FG3xSL18-OI-15-MG2 SL18-CC-12-FG3xSL18-OI-15-MG2 0.393173957270494 0.496 0.155 0.082 41.028 -0.082 0.19 -0.119 -0.429 -0.238
SL18-LD-9-FG4xSL18-OI-6-MG2 SL18-LD-9-FG4xSL18-OI-6-MG2 0.373057740719034 0.158 0.055 0.264 -15.188 -0.331 -0.181 -0.084 -0.097 -0.27
SL18-LD-10-FG2xSA18-CB-7-MG2 SL18-LD-10-FG2xSA18-CB-7-MG2 0.366256578751953 0.208 0.11 0.146 34.948 -0.031 0.407 0.607 0.105 0.321
SL18-OI-18-FG5xSL18-LD-2-MG1 SL18-OI-18-FG5xSL18-LD-2-MG1 0.365962581613377 -0.24 -0.013 0.391 -50.418 -0.112 0.252 0.204 0.219 0.316
SL18-LD-2-FG2xSL18-SF-19-MG1 SL18-LD-2-FG2xSL18-SF-19-MG1 0.359631665423774 -0.388 -0.064 0.488 -26.322 0.058 -0.01 0.215 0.15 0.382
