pedigree index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
SL18-CC-12-FG2xSL18-OI-15-MG2 SL18-CC-12-FG2xSL18-OI-15-MG2 0.596585194890023 0.866 0.273 0.051 52.542 -0.183 -0.024 -0.055 -0.54 -0.068
SL18-OI-6-FG2xSA18-CB-4-MG2 SL18-OI-6-FG2xSA18-CB-4-MG2 0.704622685885059 0.567 0.255 0.194 -6.116 -0.095 0.009 -0.057 -0.373 -0.036
SL18-OI-6-FG2xSL18-LD-2-MG2 SL18-OI-6-FG2xSL18-LD-2-MG2 0.95747025173456 0.535 0.242 0.473 -16.22 -0.337 -0.002 -0.098 -0.114 -0.22
SL18-OI-4-FG2xSA18-CB-7-MG2 SL18-OI-4-FG2xSA18-CB-7-MG2 0.636718915921023 0.548 0.238 0.161 72.672 0.027 0.405 -0.656 -0.023 -0.342
SL18-OI-6-FG3xSL18-CC-11-MG5 SL18-OI-6-FG3xSL18-CC-11-MG5 0.804353812328732 0.642 0.226 0.353 33.821 0.006 -0.164 0.19 0.176 -0.067
SL18-CC-11-FG3xSA18-CB-3-MG3 SL18-CC-11-FG3xSA18-CB-3-MG3 0.12177542681308 0.722 0.216 -0.311 101.976 0.149 0.23 -0.357 -0.44 -0.499
SL18-CC-3-FG2xSA18-CB-10-MG3 SL18-CC-3-FG2xSA18-CB-10-MG3 0.459282813968971 0.458 0.212 0.035 20.921 0.052 -0.306 0.041 -0.131 -0.324
SA18-CB-9-FG1xSL18-OI-7-MG3 SA18-CB-9-FG1xSL18-OI-7-MG3 0.480375926949651 0.608 0.209 0.063 22.526 0.304 0.183 -0.926 -0.804 -1.039
SL18-CC-11-FG3xSL18-NC-2-MG3 SL18-CC-11-FG3xSL18-NC-2-MG3 0.230409377302163 0.73 0.208 -0.186 67.969 0.073 -0.082 0.054 -0.258 0.004
SL18-OI-17-FG4xSL18-JS-6-MG2 SL18-OI-17-FG4xSL18-JS-6-MG2 0.581009647588131 0.508 0.205 0.172 -1.869 0.119 0.081 -0.521 -0.274 -0.66
SA18-CB-4-FG6xSL18-JS-6-MG3 SA18-CB-4-FG6xSL18-JS-6-MG3 0.529743669209749 0.535 0.199 0.132 -17.373 0.136 -0.056 0.008 0.259 -0.116
SL18-CC-12-FG2xSL18-LL-9-MG4 SL18-CC-12-FG2xSL18-LL-9-MG4 0.307442232121378 0.602 0.199 -0.09 42.955 0.14 0.062 -0.018 -0.034 -0.118
SL18-CC-3-FG1xSL18-JS-6-MG3 SL18-CC-3-FG1xSL18-JS-6-MG3 0.639441848131828 0.479 0.188 0.264 -5.086 0.258 -0.188 -0.3 0.203 -0.07
SL18-CC-5-FG2xSA18-CB-10-MG1 SL18-CC-5-FG2xSA18-CB-10-MG1 0.240395888142824 0.502 0.185 -0.13 6.554 -0.013 0.154 -0.344 0.044 -0.487
SL18-SF-17-FG2xSA18-CB-7-MG3 SL18-SF-17-FG2xSA18-CB-7-MG3 0.419695783187315 0.554 0.184 0.051 10.307 0.114 0.112 -0.529 -0.313 -0.584
SL18-SF-17-FG2xSA18-CB-7-MG2 SL18-SF-17-FG2xSA18-CB-7-MG2 0.403230689704057 0.523 0.184 0.035 28.9 0.097 0.315 -0.505 0.148 -0.328
SL18-NL-6-FG1xSA18-CB-7-MG2 SL18-NL-6-FG1xSA18-CB-7-MG2 0.197940656756721 0.589 0.182 -0.167 144.601 -0.002 0.167 0.092 0.278 0.432
SL18-OI-11-FG3xSL18-NC-2-MG1 SL18-OI-11-FG3xSL18-NC-2-MG1 0.262981605249123 0.578 0.179 -0.094 17.108 -0.009 -0.107 -0.284 0.11 -0.085
SL18-OI-6-FG3xSL18-JS-6-MG1 SL18-OI-6-FG3xSL18-JS-6-MG1 1.24438858482221 0.257 0.178 0.889 -10.41 0.121 -0.249 -0.246 0.06 0.017
SL18-OI-11-FG3xSL18-CC-1-MG3 SL18-OI-11-FG3xSL18-CC-1-MG3 0.329944326011404 0.53 0.167 -0.005 8.376 -0.356 -0.179 0.088 0.516 -0.054
