"","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-NL-6-FG1",0.633,0.13,0,252.048,-0.004,-0.219,0.189,0.076,0.273
"SA18-CB-7-FG1",0.488,0.108,0,-0.61,0.011,-0.186,-0.498,0.443,-0.348
"SL18-OI-15-FG1",0.46,0.098,0,10.415,-0.075,-0.685,-0.15,-0.09,0.081
"SA18-CB-10-FG1",0.448,0.07,0,34.676,-0.001,-0.313,0.374,0.402,-0.586
"SL18-NL-3-FG2",0.297,0.061,0,61.944,0.006,0.028,-0.273,-0.037,-0.395
"SA18-CB-10-FG2",0.244,0.048,0,5.142,0.011,-0.002,0.352,0.168,0.448
"SL18-OI-18-FG5",-0.101,0.033,0,-70.44,-0.049,0.208,0.66,0.155,0.297
"SL18-LD-13-FG2",0.165,0.03,0,46.013,0.003,0.373,-0.821,-0.151,-0.738
"SL18-OI-18-FG1",0.069,0.029,0,-45.593,-0.039,0.214,1.149,0.676,1.304
"SL18-SF-13-FG1",-0.002,0.026,0,-11.803,-0.006,0.137,0.254,-0.197,0.341
"SL18-NL-2-FG1",-0.013,0.022,0,5.858,0.002,0.375,0.314,0.161,-0.522
"SL18-OI-17-FG1",0.138,0.02,0,3.055,0.002,-0.247,-1.454,-0.372,-0.437
"SL18-OI-16-FG3",0.099,0.014,0,57.058,0.002,-0.473,-0.327,-1.013,-0.799
"SL18-OI-18-FG2",-0.047,0.014,0,-53.308,-0.063,-0.137,-0.383,-0.321,0.491
"SL18-SF-17-FG3",0.07,0.009,0,9.79,0.046,0.356,-0.017,-0.322,0.163
"SL18-NL-10-FG1",0.187,0.009,0,89.926,-0.074,0.073,-0.229,-0.267,-0.133
"SL18-OI-18-FG3",-0.071,0.007,0,-73.455,-0.037,-0.065,-0.274,-0.505,-0.313
"SA18-CB-4-FG3",0.123,0.002,0,-39.929,-0.006,-0.274,0.152,0.251,0.246
"SL18-NL-3-FG3",-0.021,0,0,16.043,0.01,-0.117,-0.359,0.098,0.086
"SL18-OI-18-FG6",-0.058,0,0,-43.266,-0.031,-0.34,-0.99,-1.119,-0.154
"SL18-NL-3-FG1",-0.092,-0.001,0,5.788,0.016,-0.039,-0.04,0.251,-0.194
"SL18-SF-17-FG1",-0.044,-0.005,0,-24.148,0.024,0.328,0.578,-0.296,0.373
"SL18-OI-9-FG1",0.007,-0.005,0,25.5,0.002,-0.057,-0.482,-0.448,-1.146
"SL18-OI-11-FG1",0.134,-0.011,0,6.097,0.006,0.579,-0.174,0.327,0.607
"SL18-LD-1-FG2",-0.103,-0.012,0,-9.919,0.018,0.352,0.696,0.487,1.108
"SL18-OI-7-FG3",-0.132,-0.023,0,61.069,0.002,-0.111,0.139,-0.181,0.831
"SL18-LD-10-FG2",-0.182,-0.028,0,-2.181,-0.006,0.307,1.262,-0.1,0.408
"SL18-NL-9-FG2",0.069,-0.034,0,89.457,0.011,-0.256,0.313,0.207,0.224
"SL18-LD-2-FG2",-0.459,-0.04,0,-99.712,0.05,-0.117,0.207,0.287,-0.129
"SL18-LD-10-FG1",-0.246,-0.042,0,-42.096,0.027,0.538,0.575,0.32,0.25
"SL18-LD-3-FG2",-0.112,-0.048,0,-11.601,0.026,0.346,-0.922,0.056,-0.084
"SL18-LD-3-FG1",-0.302,-0.049,0,-55.92,0.006,-0.041,-0.1,-0.331,0.01
"SL18-OI-2-FG2",-0.289,-0.051,0,-80.962,-0.011,-0.007,0.304,0.355,-0.24
"SL18-LD-9-FG3",-0.331,-0.052,0,-75.012,0.041,0.264,0.13,-0.486,-0.138
"SL18-LD-4-FG1",-0.138,-0.053,0,-21.456,0.034,-0.132,-0.006,0.02,0.715
"SL18-NL-10-FG3",-0.326,-0.054,0,-0.15,-0.059,0.581,1.11,0.392,-0.323
"SL18-NL-2-FG3",-0.285,-0.054,0,-70.149,-0.007,0.531,0.29,0.073,-0.183
"SL18-LD-5-FG1",-0.209,-0.056,0,-59.815,0.005,-0.273,-0.209,0.001,0.48
"SL18-OI-2-FG3",-0.322,-0.064,0,-72.653,-0.007,0.091,-0.446,0.073,-0.434
"SL18-LD-4-FG3",-0.307,-0.064,0,-76.37,0.014,-0.436,0.429,0.104,-0.074
"SL18-OI-17-FG2",-0.363,-0.068,0,-50.515,-0.006,-0.333,0.034,-0.095,-1.591
"SL18-OI-6-FG1",-0.172,-0.069,0,-97.832,-0.069,-0.235,-0.289,-0.599,-0.36
"SL18-LD-9-FG2",-0.383,-0.07,0,-92.653,0.033,0.028,0.43,0.259,0.74
"SL18-LD-1-FG3",-0.408,-0.071,0,-30.304,-0.006,0.245,0.25,0.076,-0.165
"SL18-LD-4-FG2",-0.342,-0.074,0,-73.358,0.023,-0.472,-0.084,-0.447,0.669
"SL18-LD-1-FG1",-0.383,-0.079,0,-10.354,0.014,-0.296,-0.521,0.34,0.161
"SL18-LL-9-FG3",-0.408,-0.088,0,-56.84,0.012,0.185,0.831,0.503,-0.316
