"","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-JS-6-MG3",0.488,0.186,1.898,-17.83,-0.936,-0.114,0.227,-0.032,0.093
"SA18-CB-7-MG2",0.301,0.177,0.561,112.532,0.555,0.03,-0.387,-0.427,-0.689
"SL18-OI-6-MG2",0.439,0.176,1.675,58.461,-0.477,0.089,0.048,0.153,0.501
"SL18-CC-11-MG5",0.65,0.174,-1.027,103.394,-0.057,-0.092,0.053,0.262,0.046
"SA18-CB-7-MG3",0.352,0.172,0.716,53.641,0.457,-0.019,0.733,0.546,0.569
"SL18-JS-6-MG2",0.364,0.161,1.794,-18.999,-0.079,-0.191,0.332,-0.059,0.658
"SA18-CB-10-MG1",0.263,0.155,-0.217,-25.33,-0.163,0.118,0.377,-0.944,1.016
"SA18-CB-10-MG3",0.223,0.152,0.024,9.064,0.576,0.59,-0.385,-0.115,0.007
"SL18-CC-2-MG5",0.442,0.14,-0.923,14.013,0.457,0.091,0.645,0.516,0.137
"SA18-CB-3-MG3",0.266,0.123,-0.719,175.416,0.03,0.039,0.017,-0.612,-0.17
"SL18-OI-15-MG2",0.358,0.119,0.483,-0.306,-0.245,-0.07,0.519,0.613,0.505
"SL18-OI-7-MG3",0.42,0.115,-0.309,10.677,0.093,-0.14,0.357,0.195,-0.137
"SL18-CC-7-MG1",0.424,0.109,-0.636,39.578,0.101,0.307,-0.265,-0.489,-0.546
"SL18-JS-6-MG1",0.076,0.097,4.068,-41.201,-0.457,-0.109,0.428,0.29,0.969
"SA18-CB-4-MG2",0.125,0.091,-0.207,-5.097,0.065,0.003,-0.212,-0.285,-0.661
"SL18-NC-2-MG1",0.322,0.089,-0.264,21.371,0.135,-0.145,0.216,0.257,0.61
"SL18-CC-1-MG3",0.272,0.083,0.057,4.623,-0.098,0.105,0.412,-0.266,0.038
"SL18-OD-6-MG1",0.261,0.076,0.332,2.411,0.251,-0.009,0.313,-0.802,-0.086
"SL18-NC-2-MG2",0.268,0.075,0.068,-1.237,0.381,-0.045,-0.285,0.007,-0.138
"SA18-CB-2-MG3",0.262,0.074,-0.029,-10.158,-0.243,-0.097,-0.224,-0.281,0.281
"SL18-NC-2-MG3",0.316,0.071,-0.452,24.581,0.251,-0.13,0.668,-0.251,0.84
"SA18-CB-3-MG1",0.141,0.069,-0.416,84.163,-0.673,-0.266,0.901,0.115,0.148
"SL18-OD-6-MG3",0.246,0.069,0.354,-12.547,0.337,0.104,0.538,-0.948,0.438
"SL18-LD-2-MG2",0.178,0.066,0.407,-4.538,0.659,0.019,-0.467,0.211,-0.117
"SA18-CB-7-MG1",0.055,0.058,0.765,-2.874,-0.077,-0.143,0.464,-0.322,0.557
"SL18-CC-3-MG1",0.035,0.042,0.167,-23.899,-0.245,0.035,-0.266,0.347,-0.34
"SL18-NC-15-MG3",0.187,0.042,-0.02,208.13,-0.18,0.087,0.476,-0.385,0.569
"SL18-LL-9-MG4",0.1,0.04,-0.36,97.435,0.356,0.277,-0.13,0.247,0.02
"SL18-OI-11-MG4",0.194,0.038,0.042,6.66,-0.567,0.252,-0.427,-0.68,-1.106
"SL18-OI-17-MG1",0.094,0.028,-0.007,-18.416,-0.209,-0.145,0.246,-0.311,1.21
"SL18-OI-14-MG1",-0.025,0.027,0.093,-52.847,0.568,-0.336,-0.21,0.122,0.183
"SL18-LD-9-MG1",0.146,0.024,-0.258,33.65,0.321,0.097,-0.004,-0.457,-0.113
"SL18-OD-6-MG2",0.064,0.02,0.576,1.764,0.056,0.169,-0.015,-0.264,-0.937
"SL18-LD-2-MG4",0.062,0.016,-0.066,-30.871,-0.27,-0.056,0.537,0.172,0.732
"SL18-NC-15-MG1",0.102,0.014,-0.21,104.806,-0.627,0.343,1.312,-0.09,1.636
"SL18-CC-6-MG2",0.142,0.009,-0.293,-33.981,-0.321,-0.237,0.078,0.258,0.364
"SL18-OI-4-MG1",-0.029,0.006,0.315,30.709,0.073,-0.177,-0.408,0.209,-0.433
"SL18-OI-15-MG3",0.05,0.006,0.422,7.738,-1.073,-0.073,0.366,1.081,0.093
"SL18-OI-7-MG1",0.054,0,-0.658,-15.503,0.155,-0.075,0.047,0.339,-0.482
"SL18-OI-14-MG2",-0.087,-0.002,0.458,-57.259,0.412,-0.368,0.946,0.401,0.431
"SA18-CB-4-MG3",-0.031,-0.007,-0.674,-28.992,0.242,-0.32,0.048,-0.578,0.368
"SA18-CB-4-MG1",-0.11,-0.008,-0.338,-31.374,0.432,-0.062,-0.729,-0.364,-0.583
"SL18-LD-1-MG1",-0.04,-0.013,0.255,-12.816,0.348,0.358,-0.961,0.087,-0.596
"SA18-CB-3-MG2",-0.159,-0.015,-1.943,69.84,0.125,-0.019,-0.246,0.069,-0.653
"SL18-OI-2-MG2",0.05,-0.016,0.071,36.255,0.381,-0.104,0.284,-0.099,0.456
"SL18-CC-4-MG11",-0.042,-0.018,-0.173,-30.659,0.111,-0.111,-0.253,-0.719,-0.364
"SA18-CB-1-MG13",-0.107,-0.02,0.65,-24.311,-0.863,-0.299,0.716,-0.22,0.266
"SL18-OI-11-MG3",-0.024,-0.023,0.098,8.724,-0.809,0.06,0.001,0.428,-0.104
"SL18-CC-1-MG2",-0.096,-0.03,-0.01,-10.315,-0.165,-0.045,0.089,-0.048,0.382
"SL18-OD-3-MG1",-0.147,-0.041,0.283,-16.276,-0.241,0.28,-0.705,-0.285,-1.143
"SL18-NC-9-MG2",-0.044,-0.042,0.567,-12.403,-0.278,-0.114,0.462,0.276,0.276
"SL18-OI-4-MG3",-0.132,-0.046,0.072,4.489,0.164,-0.287,-1.266,0.317,-0.835
"SL18-JS-19-MG1",-0.071,-0.047,0.161,-68.161,-0.094,0.205,0.776,0.269,0.61
"SL18-NL-5-MG2",-0.243,-0.05,0.023,8.459,-0.029,0.088,-0.916,-0.206,-0.6
"SL18-LD-13-MG3",-0.156,-0.051,-0.162,2.995,0.3,0.339,0.243,-0.306,0.735
"SL18-JS-5-MG3",-0.117,-0.051,-0.58,-35.89,0.218,-0.024,0.188,-0.123,0.239
"SL18-OI-18-MG1",-0.161,-0.054,0.278,-2.43,-0.271,-0.15,-0.031,0.399,-0.058
"SL18-NC-9-MG1",-0.115,-0.055,0.823,-23.457,-0.664,-0.355,0.24,-0.089,-0.207
"SL18-OI-9-MG2",-0.263,-0.056,0.539,-8.755,0.249,-0.192,-0.288,-0.351,-0.379
"SL18-NC-11-MG2",-0.134,-0.057,-0.191,6.214,0.166,-0.255,-0.1,-1.131,-0.254
"SL18-CC-8-MG2",-0.189,-0.06,-0.41,4.564,0.212,-0.246,-0.074,0.35,0.257
"SA18-CB-5-MG3",-0.204,-0.06,0.01,-71.821,-0.652,0.119,0.883,0.666,1.097
"SA18-CB-1-MG12",-0.251,-0.061,0.291,-18.679,-0.07,0.049,0.489,0.202,0.313
"SL18-NC-12-MG1",-0.127,-0.063,0.04,-12.627,-0.077,-0.151,0.215,0.649,-0.164
"SL18-OI-18-MG3",-0.143,-0.066,0.563,-4.172,-0.225,-0.129,0.009,0.695,-0.249
"SL18-JS-16-MG1",-0.131,-0.075,0.108,-54.92,-0.025,-0.102,0.151,0.58,0.299
"SL18-OI-16-MG2",-0.251,-0.075,0.781,1.305,0.457,0.232,-1.041,-1.206,-0.147
"SL18-OI-5-MG3",-0.332,-0.078,0.522,-24.406,-0.436,0.132,0.022,0.273,0.192
"SL18-NC-1-MG1",-0.249,-0.081,-0.187,-8.996,-0.087,0.207,-0.48,-1.061,-0.883
"SL18-NL-7-MG2",-0.275,-0.084,0.697,-33.325,0.456,0.08,-0.506,-0.055,-0.809
"SL18-LD-13-MG2",-0.325,-0.086,-0.142,11.924,0.415,0.322,-0.616,0.51,-0.986
"SL18-SF-19-MG1",-0.347,-0.097,-0.465,-48.651,0.394,0.081,0.18,0.126,-0.699
"SL18-JS-11-MG3",-0.327,-0.097,-0.61,-6.192,0.307,0.042,-0.079,0.161,0.405
"SL18-NC-12-MG3",-0.275,-0.106,-0.156,-19.141,0.111,0.097,-0.682,0.163,-0.397
"SL18-JS-5-MG2",-0.175,-0.112,-1.473,-22.486,0.434,-0.275,0.386,-0.295,0.358
