"","crossID","Order_1","Year","plotNo","Region","plotNo_Numeric","date","GrowDays","Pain2Plant","femaPar","femaParLoc","malePar","maleParLoc","Crosses","crossID.1","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","popChk","withinLoc","isSelf"
"201","SL19-UCONN-S10",201,"2020","S10","GOM","10","6_9_2020","185",NA,"SL18-OI-11-FG3","OI","SL18-CC-1-MG3","CC","SL18-OI-11-FG3xSL18-CC-1-MG3","SL19-UCONN-S10",3,1,"1",NA,"2",3,7.98,0.895,8.92,11.56,1.031543485,150,"ES","0","0"
"203","SL19-UCONN-S101",203,"2020","S101","GOM","101","6_9_2020","185",NA,"SL18-JS-16-FG3","JS","SL18-NC-10-MG3","NC","SL18-JS-16-FG3xSL18-NC-10-MG3","SL19-UCONN-S101",3,1,"2",NA,"8",2,1.59,1.04,1.53,9.56,0.145898646,60,"ES","0","0"
"206","SL19-UCONN-S104",206,"2020","S104","GOM","104","6_9_2020","185",NA,"SL18-OI-5-FG5","OI","SA18-CB-7-MG3","CB","SL18-OI-5-FG5xSA18-CB-7-MG3","SL19-UCONN-S104",3,1,"2",NA,"9",2,0.52,0.95,0.55,16.92,0.09321362,80,"ES","0","0"
"214","SL19-UCONN-S111",214,"2020","S111","GOM","111","6_9_2020","185",NA,"SL18-CC-1-FG2","CC","SL18-OI-16-MG1","OI","SL18-CC-1-FG2xSL18-OI-16-MG1","SL19-UCONN-S111",3,1,"2",NA,"10",3,3.33,1.03,3.23,14.82,0.478797213,130,"ES","0","0"
"215","SL19-UCONN-S112",215,"2020","S112","GOM","112","6_9_2020","185",NA,"SL18-NC-11-FG1","NC","SL18-NL-2-MG1","NL","SL18-NC-11-FG1xSL18-NL-2-MG1","SL19-UCONN-S112",1,1,"2",NA,"10",2,2.17,1.015,2.14,12.94,0.276564855,50,"ES","0","0"
"216","SL19-UCONN-S113",216,"2020","S113","GOM","113","6_9_2020","185",NA,"SL18-CC-5-FG2","CC","SA18-CB-10-MG1","CB","SL18-CC-5-FG2xSA18-CB-10-MG1","SL19-UCONN-S113",3,1,"2",NA,"10",3,15.94,1.058,15.06,13.21,1.989688812,110,"ES","0","0"
"218","SL19-UCONN-S115",218,"2020","S115","GOM","115","6_9_2020","185",NA,"SL18-LD-13-FG2","LD","SL18-LD-13-MG2","LD","SL18-LD-13-FG2xSL18-LD-13-MG2","SL19-UCONN-S115",1,1,"2",NA,"11",2,0.33,0.988,0.33,11.71,0.03920757,150,"ES","1","1"
"222","SL19-UCONN-S119",222,"2020","S119","GOM","119","6_9_2020","185",NA,"SL18-CC-5-FG3","CC","SL18-OI-14-MG1","OI","SL18-CC-5-FG3xSL18-OI-14-MG1","SL19-UCONN-S119",3,1,"3",NA,"1",3,13.58,0.98,13.86,10.79,1.495930496,90,"ES","0","0"
"223","SL19-UCONN-S12",223,"2020","S12","GOM","12","6_9_2020","185",NA,"SL18-CC-11-FG3","CC","SL18-CC-3-MG1","CC","SL18-CC-11-FG3xSL18-CC-3-MG1","SL19-UCONN-S12",3,1,"1",NA,"3",2,1.05,0.85,1.24,13.13,0.162226696,40,"ES","1","0"
"225","SL19-UCONN-S121",225,"2020","S121","GOM","121","6_9_2020","185",NA,"SL18-CC-11-FG3","CC","SA18-CB-3-MG3","CB","SL18-CC-11-FG3xSA18-CB-3-MG3","SL19-UCONN-S121",3,1,"3",NA,"1",3,17.06,0.98,17.41,10.98,1.912050785,740,"ES","0","0"
"232","SL19-UCONN-S128",232,"2020","S128","GOM","128","6_9_2020","185",NA,"SL18-JS-16-FG1","JS","SL18-CC-4-MG11","CC","SL18-JS-16-FG1xSL18-CC-4-MG11","SL19-UCONN-S128",1,1,"3",NA,"3",2,0.35,0.99,0.35,10.97,0.038860603,80,"ES","0","0"
"235","SL19-UCONN-S130",235,"2020","S130","GOM","130","6_9_2020","185",NA,"SL18-CC-11-FG3","CC","SL18-JS-16-MG1","JS","SL18-CC-11-FG3xSL18-JS-16-MG1","SL19-UCONN-S130",3,1,"3",NA,"3",3,5.41,1.046,5.17,11.73,0.606503052,110,"ES","0","0"
"236","SL19-UCONN-S131",236,"2020","S131","GOM","131","6_9_2020","185",NA,"SL18-NC-12-FG2","NC","SA18-CB-4-MG3","CB","SL18-NC-12-FG2xSA18-CB-4-MG3","SL19-UCONN-S131",3,1,"3",NA,"3",3,1.62,0.81,2,9.64,0.1931936,100,"ES","0","0"
"237","SL19-UCONN-S132",237,"2020","S132","GOM","132","6_9_2020","185",NA,"SL18-OD-5-FG1","OD","SL18-CC-8-MG2","CC","SL18-OD-5-FG1xSL18-CC-8-MG2","SL19-UCONN-S132",3,1,"3",NA,"3",2,0.58,1.045,0.55,10.65,0.058814816,130,"ES","0","0"
"238","SL19-UCONN-S133",238,"2020","S133","GOM","133","6_9_2020","185",NA,"SL18-CC-1-FG3","CC","SL18-OI-9-MG2","OI","SL18-CC-1-FG3xSL18-OI-9-MG2","SL19-UCONN-S133",1,1,"3",NA,"3",2,0.39,1.05,0.37,12.37,0.045545013,100,"ES","0","0"
"240","SL19-UCONN-S135",240,"2020","S135","GOM","135","6_9_2020","185",NA,"SA18-CB-9-FG1","CB","SL18-JS-5-MG3","JS","SA18-CB-9-FG1xSL18-JS-5-MG3","SL19-UCONN-S135",1,1,"3",NA,"4",2,0.92,0.89,1.03,11.26,0.116125876,30,"ES","0","0"
