"","fndRow","",""
"SL18-OI-4",1,0,0
"SL18-OI-5",2,0,0
"SL18-OI-6",3,0,0
"SL18-OI-11",4,0,0
"SL18-OI-15",5,0,0
"SL18-OI-16",6,0,0
"SL18-OI-17",7,0,0
"SL18-OI-18",8,0,0
"SL18-LD-1",9,0,0
"SL18-LD-3",10,0,0
"SL18-LD-4",11,0,0
"SL18-LD-5",12,0,0
"SL18-LD-9",13,0,0
"SL18-LD-10",14,0,0
"SL18-LD-13",15,0,0
"SL18-CC-1",16,0,0
"SL18-CC-2",17,0,0
"SL18-CC-3",18,0,0
"SL18-CC-4",19,0,0
"SL18-CC-5",20,0,0
"SL18-CC-6",21,0,0
"SL18-CC-7",22,0,0
"SL18-CC-8",23,0,0
"SL18-CC-9",24,0,0
"SL18-CC-10",25,0,0
"SL18-CC-11",26,0,0
"SL18-CC-12",27,0,0
"SL18-NC-2",28,0,0
"SL18-NC-1",29,0,0
"SL18-NC-5",30,0,0
"SL18-JS-6",31,0,0
"SL18-JS-5",32,0,0
"SL18-JS-9",33,0,0
"SL18-NC-8",34,0,0
"SL18-NC-10",35,0,0
"SL18-NC-9",36,0,0
"SL18-NC-12",37,0,0
"SL18-NL-2",38,0,0
"SL18-NL-3",39,0,0
"SL18-NL-5",40,0,0
"SL18-NL-7",41,0,0
"SL18-NL-6",42,0,0
"SL18-NL-9",43,0,0
"SL18-NL-10",44,0,0
"SL18-JS-19",45,0,0
"SL18-JS-16",46,0,0
"SL18-JS-11",47,0,0
"SA18-CB-10",48,0,0
"SL18-OI-2",49,0,0
"SL18-OI-7",50,0,0
"SL18-OI-9",51,0,0
"SL18-SF-13",52,0,0
"SL18-SF-17",53,0,0
"SA18-CB-4",54,0,0
"SL18-LD-2",55,0,0
"SA18-CB-7",56,0,0
"SL18-LL-9",57,0,0
"SL18-NC-11",58,0,0
"SL18-OD-5",59,0,0
"SA18-CB-9",60,0,0
"SA18-CB-2",61,0,0
"SA18-CB-5",62,0,0
"SL18-NC-15",63,0,0
"SL18-SF-19",64,0,0
"SL18-OI-14",65,0,0
"SL18-SF-15",66,0,0
"SA18-CB-1",67,0,0
"SA18-CB-3",68,0,0
"SL18-OD-6",69,0,0
"SL18-OD-3",70,0,0
"SA18-CB-10-FG1",71,48,NA
"SL18-LD-10-FG1",72,14,NA
"SL18-NL-6-FG1",73,42,NA
"SL18-LD-10-FG2",74,14,NA
"SL18-NL-9-FG2",75,43,NA
"SL18-OI-11-FG1",76,4,NA
"SL18-OI-15-FG1",77,5,NA
"SL18-OI-16-FG3",78,6,NA
"SL18-LD-13-FG2",79,15,NA
"SL18-OI-17-FG1",80,7,NA
"SL18-OI-17-FG2",81,7,NA
"SL18-OI-18-FG1",82,8,NA
"SL18-OI-18-FG2",83,8,NA
"SL18-OI-18-FG3",84,8,NA
"SL18-OI-18-FG5",85,8,NA
"SL18-OI-18-FG6",86,8,NA
"SL18-OI-2-FG2",87,49,NA
"SL18-LD-1-FG1",88,9,NA
"SL18-OI-2-FG3",89,49,NA
"SL18-OI-6-FG1",90,3,NA
"SL18-OI-7-FG3",91,50,NA
"SL18-OI-9-FG1",92,51,NA
"SL18-SF-13-FG1",93,52,NA
