"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM","loc","Region"
"SA18-CB-10-FG12","SA18-CB-10-FG1",0.174926943396826,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000606696029497211,0.999999999320068,"Ne60",0.000000606696029497211,0.174926943396826,0.000000606696029497211,0.174926943396826,"CB","GOM"
"SL18-LD-10-FG12","SL18-LD-10-FG1",0.0138693227478394,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000819664728403281,0.999999999320068,"Ne60",0.000819664728403281,0.0138693227478394,0.000819664728403281,0.0138693227478394,"LD","GOM"
"SL18-NL-6-FG12","SL18-NL-6-FG1",0.0593792468331968,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0137886847557467,0.999999999320068,"Ne60",0.0137886847557467,0.0593792468331968,0.0137886847557467,0.0593792468331968,"NL","GOM"
"SL18-LD-10-FG22","SL18-LD-10-FG2",-0.0114068329602306,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0029234512489217,0.999999999320068,"Ne60",0.0029234512489217,-0.0114068329602306,0.0029234512489217,-0.0114068329602306,"LD","GOM"
"SL18-NL-9-FG22","SL18-NL-9-FG2",-0.03251342544631,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000427780143016494,0.999999999320068,"Ne60",0.000427780143016494,-0.03251342544631,0.000427780143016494,-0.03251342544631,"NL","GOM"
"SL18-OI-15-FG12","SL18-OI-15-FG1",0.0258309639108195,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00000188650208998102,0.999999999320068,"Ne60",0.00000188650208998102,0.0258309639108195,0.00000188650208998102,0.0258309639108195,"OI","GOM"
"SL18-OI-16-FG32","SL18-OI-16-FG3",-0.0507866886390405,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000245438152930417,0.999999999320068,"Ne60",0.000000245438152930417,-0.0507866886390405,0.000000245438152930417,-0.0507866886390405,"OI","GOM"
"SL18-LD-13-FG22","SL18-LD-13-FG2",-0.0608517778993957,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00000054557139296886,0.999999999320068,"Ne60",0.00000054557139296886,-0.0608517778993957,0.00000054557139296886,-0.0608517778993957,"LD","GOM"
"SL18-OI-17-FG12","SL18-OI-17-FG1",0.0204588545007785,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00216153612311724,0.999999999320068,"Ne60",0.00216153612311724,0.0204588545007785,0.00216153612311724,0.0204588545007785,"OI","GOM"
"SL18-OI-18-FG12","SL18-OI-18-FG1",0.009635625981856,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00102794079841739,0.999999999320068,"Ne60",0.00102794079841739,0.009635625981856,0.00102794079841739,0.009635625981856,"OI","GOM"
"SL18-OI-18-FG22","SL18-OI-18-FG2",-0.013396868908817,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00000047074049992128,0.999999999320068,"Ne60",0.00000047074049992128,-0.013396868908817,0.00000047074049992128,-0.013396868908817,"OI","GOM"
"SL18-OI-2-FG22","SL18-OI-2-FG2",-0.00694368778672061,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000635235705977055,0.999999999320068,"Ne60",0.000000635235705977055,-0.00694368778672061,0.000000635235705977055,-0.00694368778672061,"OI","GOM"
"SL18-LD-1-FG12","SL18-LD-1-FG1",-0.0346853857216479,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0023761272799856,0.999999999320068,"Ne60",0.0023761272799856,-0.0346853857216479,0.0023761272799856,-0.0346853857216479,"LD","GOM"
"SL18-OI-2-FG32","SL18-OI-2-FG3",-0.0100377418198851,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000480763721640912,0.999999999320068,"Ne60",0.000000480763721640912,-0.0100377418198851,0.000000480763721640912,-0.0100377418198851,"OI","GOM"
"SL18-OI-6-FG12","SL18-OI-6-FG1",0.0215880332398664,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000132362205562404,0.999999999320068,"Ne60",0.000000132362205562404,0.0215880332398664,0.000000132362205562404,0.0215880332398664,"OI","GOM"
"SL18-OI-9-FG12","SL18-OI-9-FG1",-0.00921591270361288,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00206998542447063,0.999999999320068,"Ne60",0.00206998542447063,-0.00921591270361288,0.00206998542447063,-0.00921591270361288,"OI","GOM"
"SL18-SF-13-FG12","SL18-SF-13-FG1",-0.0261324199553752,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000139478912184562,0.999999999320068,"Ne60",0.000000139478912184562,-0.0261324199553752,0.000000139478912184562,-0.0261324199553752,"SF","GOM"
"SL18-LD-1-FG22","SL18-LD-1-FG2",0.0128343398572861,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00194761791259738,0.999999999320068,"Ne60",0.00194761791259738,0.0128343398572861,0.00194761791259738,0.0128343398572861,"LD","GOM"
"SA18-CB-4-FG32","SA18-CB-4-FG3",0.0780214583649305,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000143828465977022,0.999999999320068,"Ne60",0.000000143828465977022,0.0780214583649305,0.000000143828465977022,0.0780214583649305,"CB","GOM"
"SL18-LD-2-FG22","SL18-LD-2-FG2",-0.0460692995842171,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000551412073234271,0.999999999320068,"Ne60",0.000000551412073234271,-0.0460692995842171,0.000000551412073234271,-0.0460692995842171,"LD","GOM"
"SL18-LD-3-FG12","SL18-LD-3-FG1",-0.0155377408761204,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00000101592392991697,0.999999999320068,"Ne60",0.00000101592392991697,-0.0155377408761204,0.00000101592392991697,-0.0155377408761204,"LD","GOM"
"SL18-LD-3-FG22","SL18-LD-3-FG2",0.0129172948812176,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00000831847432853443,0.999999999320068,"Ne60",0.00000831847432853443,0.0129172948812176,0.00000831847432853443,0.0129172948812176,"LD","GOM"
"SL18-LD-4-FG32","SL18-LD-4-FG3",0.00748211455922718,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00250386444188887,0.999999999320068,"Ne60",0.00250386444188887,0.00748211455922718,0.00250386444188887,0.00748211455922718,"LD","GOM"
"SA18-CB-7-FG12","SA18-CB-7-FG1",0.174607723104919,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00514522432003716,0.999999999320068,"Ne60",0.00514522432003716,0.174607723104919,0.00514522432003716,0.174607723104919,"CB","GOM"
"SL18-LD-9-FG22","SL18-LD-9-FG2",0.00279228361404851,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00000757847536592801,0.999999999320068,"Ne60",0.00000757847536592801,0.00279228361404851,0.00000757847536592801,0.00279228361404851,"LD","GOM"
"SL18-LD-9-FG32","SL18-LD-9-FG3",0.0164988252275856,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000979937908296083,0.999999999320068,"Ne60",0.000979937908296083,0.0164988252275856,0.000979937908296083,0.0164988252275856,"LD","GOM"
"SL18-LL-9-FG32","SL18-LL-9-FG3",-0.0529216087081129,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000189712806207786,0.999999999320068,"Ne60",0.000000189712806207786,-0.0529216087081129,0.000000189712806207786,-0.0529216087081129,"LL","GOM"
"SL18-NL-10-FG12","SL18-NL-10-FG1",-0.0277644893601029,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000169715408015881,0.999999999320068,"Ne60",0.000169715408015881,-0.0277644893601029,0.000169715408015881,-0.0277644893601029,"NL","GOM"
"SL18-NL-2-FG12","SL18-NL-2-FG1",-0.00512114511690464,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00794649695704022,0.999999999320068,"Ne60",0.00794649695704022,-0.00512114511690464,0.00794649695704022,-0.00512114511690464,"NL","GOM"
"SL18-NL-2-FG32","SL18-NL-2-FG3",-0.0774296107808457,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000542420480639226,0.999999999320068,"Ne60",0.000000542420480639226,-0.0774296107808457,0.000000542420480639226,-0.0774296107808457,"NL","GOM"
"SL18-NL-3-FG12","SL18-NL-3-FG1",-0.0770857729477639,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000203881576570417,0.999999999320068,"Ne60",0.000000203881576570417,-0.0770857729477639,0.000000203881576570417,-0.0770857729477639,"NL","GOM"
"SL18-NL-3-FG32","SL18-NL-3-FG3",-0.0185869057748473,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00453230239572761,0.999999999320068,"Ne60",0.00453230239572761,-0.0185869057748473,0.00453230239572761,-0.0185869057748473,"NL","GOM"
