Sample ID,Name_InPheno,Name_InGeno,Chosen Reason,Plate,Location,Region,Parent
SL-SF-13-MG-1,SL18-SF-13-MG1,SL18-SF-13-MG1,Biomass,3,SF,GOM,SL18-SF-13
SL-OI-2-MG-2,SL18-OI-2-MG2,SL18-OI-2-MG2,Diversity,3,OI,GOM,SL18-OI-2
SL-OI-4-MG-3,SL18-OI-4-MG3,SL18-OI-4-MG3,Biomass,3,OI,GOM,SL18-OI-4
SL-OI-11-MG-4,SL18-OI-11-MG4,SL18-OI-11-MG4,Diversity,3,OI,GOM,SL18-OI-11
SL-OI-14-MG-1,SL18-OI-14-MG1,SL18-OI-14-MG1,Diversity,3,OI,GOM,SL18-OI-14
SL-OI-16-MG-2,SL18-OI-16-MG2,SL18-OI-16-MG2,Diversity,3,OI,GOM,SL18-OI-16
SL-OI-17-MG-1,SL18-OI-17-MG1,SL18-OI-17-MG1,Diversity,3,OI,GOM,SL18-OI-17
SL-FW-2-MG-2,SL18-FW-2-MG2,SL18-FW-2-MG2,Diversity,3,FW,SNE,SL18-FW-2
SL-PI-1-MG-1,SL18-PI-1-MG1,SL18-PI-1-MG1,Diversity,3,PI,SNE,SL18-PI-1
SL-PI-1-MG-2,SL18-PI-1-MG2,SL18-PI-1-MG2,Diversity,3,PI,SNE,SL18-PI-1
SL-PI-1-MG-4,SL18-PI-1-MG4,SL18-PI-1-MG4,Diversity,3,PI,SNE,SL18-PI-1
SL-CC-4-MG-11,SL18-CC-4-MG11,SL18-CC-4-MG11,Diversity,3,CC,GOM,SL18-CC-4
SL-CC-6-MG-11,SL18-CC-6-MG11,SL18-CC-6-MG11,Biomass,3,CC,GOM,SL18-CC-6
SL-CC-7-MG-1,SL18-CC-7-MG1,SL18-CC-7-MG1,Biomass,3,CC,GOM,SL18-CC-7
SA-CB-1-MG-13,SA18-CB-1-MG13,SA18-CB-1-MG13,Biomass,3,CB,GOM,SA18-CB-1
SA-CB-3-MG-1,SA18-CB-3-MG1,SA18-CB-3-MG1,Biomass,3,CB,GOM,SA18-CB-3
SA-CB-4-MG-2,SA18-CB-4-MG2,SA18-CB-4-MG2,Diversity,3,CB,GOM,SA18-CB-4
SA-CB-7-MG-3,SA18-CB-7-MG3,SA18-CB-7-MG3,Diversity,3,CB,GOM,SA18-CB-7
SA-CB-10-MG-3,SA18-CB-10-MG3,SA18-CB-10-MG3,Diversity,3,CB,GOM,SA18-CB-10
SL-JS-5-MG-2,SL18-JS-5-MG2,SL18-JS-5-MG2,Diversity,3,JS,GOM,SL18-JS-5
SL-JS-6-MG-1,SL18-JS-6-MG1,SL18-JS-6-MG1,Diversity,3,JS,GOM,SL18-JS-6
SL-JS-6-MG-2,SL18-JS-6-MG2,SL18-JS-6-MG2,Diversity,3,JS,GOM,SL18-JS-6
SL-JS-9-MG-2,SL18-JS-9-MG2,SL18-JS-9-MG2,Diversity,3,JS,GOM,SL18-JS-9
SL-JS-11-MG-3,SL18-JS-11-MG3,SL18-JS-11-MG3,Diversity,3,JS,GOM,SL18-JS-11
SL-JS-19-MG-1,SL18-JS-19-MG1,SL18-JS-19-MG1,Diversity,3,JS,GOM,SL18-JS-19
SL-NC-1-MG-1,SL18-NC-1-MG1,SL18-NC-1-MG1,Biomass,3,NC,GOM,SL18-NC-1
SL-NC-2-MG-1,SL18-NC-2-MG1,SL18-NC-2-MG1,Diversity,3,NC,GOM,SL18-NC-2
SL-NC-9-MG-2,SL18-NC-9-MG2,SL18-NC-9-MG2,Diversity,3,NC,GOM,SL18-NC-9
SL-NC-11-MG-2,SL18-NC-11-MG2,SL18-NC-11-MG2,Biomass,3,NC,GOM,SL18-NC-11
SL-NC-12-MG-1,SL18-NC-12-MG1,SL18-NC-12-MG1,Biomass,3,NC,GOM,SL18-NC-12
SL-NL-3-MG-1,SL18-NL-3-MG1,SL18-NL-3-MG1,Diversity,3,NL,GOM,SL18-NL-3
SL-NL-5-MG-1,SL18-NL-5-MG1,SL18-NL-5-MG1,Biomass,3,NL,GOM,SL18-NL-5
SL-TI-1-MG-2,SL18-TI-1-MG2,SL18-TI-1-MG2,Diversity,3,TI,SNE,SL18-TI-1
SL-TI-2-MG-3,SL18-TI-2-MG3,SL18-TI-2-MG3,Diversity,3,TI,SNE,SL18-TI-2
SL-TI-3-MG-11,SL18-TI-3-MG11,SL18-TI-3-MG11,Biomass,3,TI,SNE,SL18-TI-3
SL-TI-4-MG-1,SL18-TI-4-MG1,SL18-TI-4-MG1,Biomass,3,TI,SNE,SL18-TI-4
SL-TI-4-MG-3,SL18-TI-4-MG3,SL18-TI-4-MG3,Diversity,3,TI,SNE,SL18-TI-4
SL-BL-10-MG-2,SL18-BL-10-MG2,SL18-BL-10-MG2,Diversity,3,BL,SNE,SL18-BL-10
SL-BL-11-MG-4,SL18-BL-11-MG4,SL18-BL-11-MG4,Diversity,3,BL,SNE,SL18-BL-11
SL-BL-12-MG-1,SL18-BL-12-MG1,SL18-BL-12-MG1,Biomass,3,BL,SNE,SL18-BL-12
SL-BL-12-MG-3,SL18-BL-12-MG3,SL18-BL-12-MG3,Biomass,3,BL,SNE,SL18-BL-12
SL-BL-17-MG-3,SL18-BL-17-MG3,SL18-BL-17-MG3,Biomass,3,BL,SNE,SL18-BL-17
SL-OD-3-MG-3,SL18-OD-3-MG3,SL18-OD-3-MG3,Diversity,3,OD,GOM,SL18-OD-3
SL-OD-5-MG-2,SL18-OD-5-MG2,SL18-OD-5-MG2,Diversity,3,OD,GOM,SL18-OD-5
SL-OD-6-MG-2,SL18-OD-6-MG2,SL18-OD-6-MG2,Diversity,3,OD,GOM,SL18-OD-6
SL-OD-6-MG-3,SL18-OD-6-MG3,SL18-OD-6-MG3,Diversity,3,OD,GOM,SL18-OD-6
SL-OD-10-MG-3,SL18-OD-10-MG3,SL18-OD-10-MG3,Diversity,3,OD,GOM,SL18-OD-10
