GametophyteID,Keeper,Site,Sex,Location,# Crosses,Parent,Tray_Number_atUCONN,Total_biomass,# Clean,# Green,Generation
SL18-BL-10-MG2,UCONN,SNE,M,BL,5,SL18-BL-10,1,H,x,NA,GP
SL18-BL-11-MG1,UCONN,SNE,M,BL,5,SL18-BL-11,1,H,x,NA,GP
SL18-BL-11-MG2,UCONN,SNE,M,BL,5,SL18-BL-11,1,H,x,NA,GP
SL18-BL-11-MG4,UCONN,SNE,M,BL,5,SL18-BL-11,1,H,x,NA,GP
SL18-BL-12-MG1,UCONN,SNE,M,BL,5,SL18-BL-12,1,H,x,NA,GP
SL18-BL-12-MG2,UCONN,SNE,M,BL,5,SL18-BL-12,1,H,x,NA,GP
SL18-BL-12-MG3,UCONN,SNE,M,BL,5,SL18-BL-12,1,H,x,NA,GP
SL18-BL-13-MG1,UCONN,SNE,M,BL,5,SL18-BL-13,1,H,x,NA,GP
SL18-BL-17-MG1,UCONN,SNE,M,BL,5,SL18-BL-17,1,H,x,NA,GP
SL18-BL-17-MG2,UCONN,SNE,M,BL,5,SL18-BL-17,1,H,x,NA,GP
SL18-FI-1-MG2,UCONN,SNE,M,FI,5,SL18-FI-1,2,H,x,NA,GP
SL18-FI-2-MG3,UCONN,SNE,M,FI,5,SL18-FI-2,2,H,x,NA,GP
SL18-PI-1-MG2,UCONN,SNE,M,PI,5,SL18-PI-1,2,H,x,NA,GP
SL18-PI-1-MG2,UCONN,SNE,M,PI,0,SL18-PI-1,2,NA,x,NA,GP
SL18-PI-1-MG3,UCONN,SNE,M,PI,5,SL18-PI-1,2,H,x,NA,GP
SL18-PI-1-MG4,UCONN,SNE,M,PI,5,SL18-PI-1,2,H,x,NA,GP
SL18-PI-1-MG10,UCONN,SNE,M,PI,0,SL18-PI-1,2,NA,x,NA,GP
SL18-PI-1-MG11,UCONN,SNE,M,PI,5,SL18-PI-1,2,H,x,NA,GP
SL18-OD-3-MG1,UCONN,GOM,M,OD,5,SL18-OD-3,3,H,x,NA,GP
SL18-OD-3-MG3,UCONN,GOM,M,OD,5,SL18-OD-3,3,H,x,NA,GP
SL18-OD-5-MG1,UCONN,GOM,M,OD,5,SL18-OD-5,3,H,x,NA,GP
SL18-OD-5-MG2,UCONN,GOM,M,OD,5,SL18-OD-5,3,H,x,NA,GP
SL18-OD-10-MG3,UCONN,GOM,M,OD,5,SL18-OD-10,3,H,x,NA,GP
SL18-LD-1-MG1,UCONN,GOM,M,LD,5,SL18-LD-1,4,H,x,NA,GP
SL18-LD-1-MG3,UCONN,GOM,M,LD,5,SL18-LD-1,4,H,x,NA,GP
SL18-LD-2-MG2,UCONN,GOM,M,LD,5,SL18-LD-2,4,H,x,NA,GP
SL18-LD-3-MG2,UCONN,GOM,M,LD,5,SL18-LD-3,4,H,x,NA,GP
SL18-OI-9-MG2,UCONN,GOM,M,OI,5,SL18-OI-9,5,H,x,NA,GP
SL18-OI-11-MG1,UCONN,GOM,M,OI,5,SL18-OI-11,5,H,x,NA,GP
SL18-OI-11-MG2,UCONN,GOM,M,OI,5,SL18-OI-11,5,H,x,NA,GP
SL18-OI-11-MG3,UCONN,GOM,M,OI,5,SL18-OI-11,5,H,x,NA,GP
SL18-OI-15-MG1,UCONN,GOM,M,OI,5,SL18-OI-15,5,H,x,NA,GP
SL18-OI-16-MG2,UCONN,GOM,M,OI,5,SL18-OI-16,5,H,x,NA,GP
