"","AshFDwPM","AshOnly","DWpM","WWP","PDW"
"SL18-OI-4",0.103566547507463,0.068533422524032,0.024175138857201,0.0219402046193122,0.22297910997273
"SL18-OI-5",-0.0266619149124428,-0.705384122341206,-0.0954835519647377,-0.388391586522149,0.160433275507991
"SL18-OI-6",0.208548057749643,-0.921800024511751,0.157317486692994,0.347007660438984,0.508290758155729
"SL18-OI-11",0.0868103852473759,-0.028466885978878,0.0422121492334564,0.17512906852801,0.0347211661084122
"SL18-OI-15",0.0737324816897229,-0.365759415719956,0.0873410461459678,0.334475463102639,0.0734731384848414
"SL18-OI-16",-0.0296498912680321,-0.0730651152331973,-0.0687231180524789,-0.191062433024203,0.131099236515516
"SL18-OI-17",0.108833414721592,-0.0812450480687377,0.0220086771178466,0.0156457224943599,-0.0309918747396877
"SL18-OI-18",0.021700630742173,-0.582830629723292,-0.0248414421434464,-0.132659515886393,0.274024055108592
"SL18-LD-1",0.0359946102979452,-0.167189749431637,-0.066511563624398,-0.344812963409916,0.280635058826693
"SL18-LD-3",-0.0179917773467334,0.114090064071252,-0.0409265977643731,-0.186769299536013,0.144806414499242
"SL18-LD-4",-0.00112382599001026,-0.0654242496547851,-0.0520836996424899,-0.231235750836771,0.166055652089526
"SL18-LD-5",-0.0311626575647373,-0.129178410663373,-0.0647652733472777,-0.129765222614114,0.034626936294187
"SL18-LD-9",-0.0103041763028215,-0.253522238966805,-0.0249995913232022,-0.133511727605304,0.143416690453466
"SL18-LD-10",-0.0337958420620394,0.0760751653091919,-0.0201521022748872,-0.100025131847233,0.157486310379842
"SL18-LD-13",-0.0830880643635286,-0.382303330131321,-0.0476143432214684,-0.166561213311142,0.14712839402933
"SL18-FW-2",0.0460001139037809,-0.0272447425425381,0.068593367678458,0.220228171400738,0.00310431699458394
"SL18-FI-1",0.0346102603339595,-0.0897840679709971,0.0563205268122682,0.186429728913232,-0.00372238934937911
"SL18-FI-2",0.0262225993183975,-0.0546838825265632,0.0486673058469754,0.164433451241887,-0.00381774560565771
"SL18-CC-1",-0.037220857488923,0.645531234072596,-0.00285669409894196,0.019999568279252,0.0480702887796171
"SL18-CC-2",0.038974139492442,0.240964303352204,0.111339939731235,0.371448868310641,-0.142698117239952
"SL18-CC-3",0.0540357631436568,0.0691983615294401,0.0867176963004868,0.190315621639728,0.0747301358796786
"SL18-CC-4",-0.0118514185827032,0.0999954956235656,0.00624321299744643,0.0425978114950677,-0.0529586289405262
"SL18-CC-5",0.148248275300023,0.409901734316557,0.0995969926313625,0.390705095345827,-0.189954242998977
"SL18-CC-6",-0.0251390589180186,0.283735773929743,-0.0405791384599177,-0.00990396033252396,-0.110850151332775
"SL18-CC-7",0.0344612421866372,0.347625495769386,0.0886613118760898,0.33554028306852,-0.0974573713500985
"SL18-CC-8",-0.0999199270162229,-0.233550723298495,-0.0505318024316773,-0.0932021249504751,-0.142565273840097
"SL18-CC-9",-0.0462544093346807,0.245123673689306,0.00572245165596158,0.0407915963736294,-0.0786363259224589
"SL18-CC-12",0.167010932921099,0.510115386250942,0.167092219496308,0.52072835271956,-0.00841163464925781
"SL18-FW-14",0.0228027430469925,-0.0740894987027762,0.0580744420684304,0.167883481818027,0.0247941778934812
"SL18-NC-2",0.0711967339755645,0.448196626688675,0.0918668131803177,0.313160392899774,-0.0947942768631927
"SL18-NC-1",-0.0700721677286883,0.0185026627691054,-0.08653385297624,-0.261111693958158,-0.0700268073277543
"SL18-NC-5",-0.0340970465251809,0.0080378801585837,-0.164453711493335,-0.62127429901644,-0.182617033366331
"SL18-JS-6",0.153696280677443,0.0862449988720374,0.154651004708826,0.295633915528675,0.557617882741879
"SL18-JS-5",-0.115516268427862,0.0962585299491655,-0.103109801377082,-0.215541948053101,-0.312655024707644
"SL18-JS-9",-0.199947876624997,0.014120713926069,-0.18175193800786,-0.53491755810537,-0.139775737268973
"SL18-NC-8",-0.164090363405695,-0.285453271814214,-0.126773792198325,-0.371618806344493,0.0249650870003582
"SL18-NC-10",-0.0897942325196093,0.0548025492803048,-0.162714599092861,-0.390729367301463,-0.4857850088795
"SL18-NC-9",-0.0405334135755042,0.187859594296073,-0.0520972141248551,-0.077178992689347,0.092820205158487
"SL18-NC-12",-0.0756265486875343,-0.115616160211684,-0.0964777986197364,-0.225951209016146,-0.0480269615183216
"SL18-NL-2",-0.136333278391167,-0.0090467717473802,-0.0725421016917721,-0.241988600896544,-0.0724527734297298
"SL18-NL-3",-0.0458696188285218,0.553889853222445,-0.0566536073505791,-0.131483707223635,-0.152262445719672
"SL18-NL-5",-0.0441222796773838,0.0797159169730236,-0.0498370265416948,-0.272181844214261,-0.0402688332559139
"SL18-NL-7",-0.0563713677189214,0.0699602570702565,-0.0836971268359915,-0.381004075307551,0.041235229273299
"SL18-NL-6",-0.0717308836762259,0.13022775606912,0.00244485264329044,0.0825824706874,-0.212916160060734
"SL18-NL-9",-0.0751747501344806,0.067697678087806,-0.0784016197734057,-0.206372937640612,-0.313719216791253
"SL18-NL-10",-0.0465859201449445,0.059637729368192,-0.0618558346059292,-0.257798438085764,-0.090258210515284
"SL18-JS-19",-0.0151970189489981,0.193512889721385,-0.119708799016973,-0.284342924413433,-0.045075045720831
"SL18-JS-16",-0.143863715159531,0.126945224919211,-0.114930745522817,-0.277749160022681,-0.0665544475112311
"SL18-JS-11",-0.0627365162954243,-0.20973221074113,-0.106618328641682,-0.352053679150331,-0.18319988750487
"SL18-BL-10",0.0238983778460348,-0.0321445913879363,0.0505899130170047,0.182531493932628,-0.0107556845620334
"SL18-BL-11",0.0401298876508807,-0.0655802819237299,0.0625496507463457,0.201702520739759,-0.000774726644483692
"SL18-BL-12",0.0410443821888708,-0.0713384741792989,0.0630474349090006,0.198098979160544,0.0367864006317194
"SL18-BL-13",0.0252977684611663,-0.0422101737556059,0.065400124103047,0.231971775924464,-0.0149079297386703
"SL18-BL-14",0.0470380102670252,-0.0282469198790578,0.0661159502858678,0.216308727174179,0.00777694645091728
"SL18-BL-15",0.0365507815597491,-0.0575388765053934,0.0616252502082859,0.206920250480565,0.0110532526175278
"SL18-BL-16",0.0553420302054426,-0.101834390636129,0.0812189192076094,0.25321036199574,0.0814212150900738
"SL18-CC-10",0.0785694189344085,0.0284298685828776,0.0776529311518648,0.238840980282112,0.00460587738539098
"SL18-CC-11",0.0623280564788215,0.365416164303292,0.185259007649717,0.63688756603411,-0.17600887275653
"SL18-SF-13",0.0301539988612917,-0.0298857698546392,0.0940723218278219,0.288176841960527,0.136070753086757
"SL18-OI-2",0.0149542815680695,-0.0901628515487375,-0.0461917052961681,-0.169959425666333,0.147895345884273
"SL18-OI-14",0.0031994340107184,0.0169501046795789,0.0551840803812228,0.079749473792057,0.0811128450186081
"SL18-PI-1",0.0104490882131312,-0.0265674958881922,0.0272716649113257,0.112559340237655,-0.0235914890512983
"SA18-CB-1",0.00223038660036507,-0.42059851173268,0.0395145490664761,0.115083329205162,-0.0115198690966109
"SA18-CB-3",0.0700587065510825,0.14684276632133,0.0663967302891272,0.14646065709935,-0.218566141055122
"SA18-CB-4",0.0519408616354582,0.317683869676013,0.0433415645477786,0.131760141096468,-0.214286141367362
"SA18-CB-7",0.207174146307024,-0.0360164226345067,0.164225317644842,0.421937418371751,0.0258638191122928
"SA18-CB-10",0.199737275420508,-0.21290056762755,0.143657322050077,0.333403656953753,-0.0885508456283238
"SL18-NC-11",-0.117582446400399,0.0754003324799197,-0.0913605478297577,-0.221445925759932,-0.0638441264630104
"SL18-TI-1",0.022192322349566,-0.00892974996518769,0.0288361530507395,0.100431965750312,0.00624611977434667
"SL18-TI-2",0.0147520744796397,-0.00660615773097777,0.0235904266164609,0.0782684583623315,0.0106516482233866
"SL18-TI-3",0.0152282787017337,-0.106938848194012,0.0240898830089802,0.0788912896505338,0.00635156853115847
"SL18-TI-4",0.0244690024048916,-0.0443033131859361,0.0334363395124917,0.133702907836047,-0.0159314733046466
"SL18-BL-17",0.0253100842535103,0.0021259345472523,0.0402192587058034,0.136097783984296,0.015419212145986
"SL18-OD-3",-0.0309811565066623,0.0142339057970406,-0.0564634965593724,-0.156263029776353,-0.00620424862971034
"SL18-OD-5",-0.0662242150742038,-0.283405814545438,-0.0835525463710185,-0.255872990715699,-0.0749865776893059
"SL18-OD-6",-0.0236179976424801,0.121549895843084,0.0576302452786731,0.197206866530035,0.0534112780661672
"SL18-OD-10",0.0291136379532877,-0.00846530431133695,0.0448891104621086,0.175593369669307,-0.0210759241105485
"SA18-CB-2",0.01545695093458,-0.0541717469133541,0.0386012752611352,0.0685532440688508,0.0133141103148559
"SL18-NC-15",-0.121926897171853,0.455898734111777,-0.018792403568395,0.00833724752467517,-0.103732225288288
"SL18-BL-18",0.00212465894818395,-0.0156351011944969,0.0209672347580209,0.0939896304324054,-0.0094317441119531
"SL18-FW-21",0.015320231707246,0.0490261219420437,0.0356311401292866,0.126271198690881,-0.0071903217581419
"SL18-SF-17",0.100819319574215,-0.548597902429047,0.0348997463180996,0.120726169110569,-0.012525823484874
"SL18-LL-9",-0.00342242532053964,-0.0321279871313429,-0.0844545880313065,-0.328899131145932,-0.0408043186096148
"SL18-LD-2",0.0161170382878296,0.0273381440232005,-0.018583551885617,-0.213012919840672,0.465512060302216
"SL18-FW-12",0.0104968200805555,0.0499643753266165,0.0255724702731147,0.115521103944303,-0.0471863436519418
"SL18-SF-19",-0.0336796160867557,0.011839716611281,-0.0099045942430475,-0.0321194763495591,0.247991532267792
"SA18-CB-5",-0.0529678374851178,-0.304406139364362,-0.0028751350912349,-0.0594276909476241,0.0381608574724813
"SL18-SF-15",0.0472729822456271,-0.0562185725434399,0.0689965792627199,0.338862369493617,-0.108304990000068
"SL18-SF-18",0.00425339357994127,-0.0513786591144068,-0.0273200726399352,-0.0844570817335343,0.11439339444834
"SA18-CB-9",0.0499049919968538,-0.0931118681584135,0.0941427201154282,0.243537485108793,0.0589078413469584
"SL18-OI-7",0.0472458560384131,-0.240966486856097,0.0596159493335577,0.196932951920051,-0.0492287243836566
"SL18-OI-9",-0.0169030044711957,-0.636468739522378,-0.000602298555497596,-0.0295875304377696,0.103126583634618
"SL18-TI-5",0.0270908292246749,-0.0335132062617497,0.0281316304728868,0.0918152924438955,-0.00822864888525624
"SL18-CB-2",0.0000000000000000460658675902545,0.000000000000000115759186022003,0.000000000000000138274404338048,0.000000000000000234822999854645,0.000000000000000245997264380787
"SL18-CB-3",0.000000000000000341308940223935,0.000000000000000929721422391167,0.000000000000000438233497009251,0.00000000000000130191562551602,0.000000000000000334140757079381
"SL18-CB-4",0.000000000000000203114376146867,0.000000000000000215595407602474,0.000000000000000306130674914674,0.000000000000000867115194487523,0.0000000000000000871310983863639
