,x
1,SA18-CB-10
2,SA18-CB-10_2
3,SL18-LD-10
4,SL18-LD-10_2
5,SL18-NL-6
6,SL18-NL-6_2
7,SL18-NL-9
8,SL18-NL-9_2
9,SL18-OI-15
10,SL18-OI-15_2
11,SL18-OI-16
12,SL18-OI-16_2
13,SL18-LD-13
14,SL18-LD-13_2
15,SL18-OI-17
16,SL18-OI-17_2
17,SL18-OI-18
18,SL18-OI-18_2
19,SL18-OI-2
20,SL18-OI-2_2
21,SL18-LD-1
22,SL18-LD-1_2
23,SL18-OI-6
24,SL18-OI-6_2
25,SL18-OI-9
26,SL18-OI-9_2
27,SL18-SF-13
28,SL18-SF-13_2
29,SA18-CB-4
30,SA18-CB-4_2
31,SL18-LD-2
32,SL18-LD-2_2
33,SL18-LD-3
34,SL18-LD-3_2
35,SL18-LD-4
36,SL18-LD-4_2
37,SA18-CB-7
38,SA18-CB-7_2
39,SL18-LD-9
40,SL18-LD-9_2
41,SL18-LL-9
42,SL18-LL-9_2
43,SL18-NL-10
44,SL18-NL-10_2
45,SL18-NL-2
46,SL18-NL-2_2
47,SL18-NL-3
48,SL18-NL-3_2
49,SL18-OI-11
50,SL18-OI-11_2
51,SL18-JS-16
52,SL18-JS-16_2
53,SL18-CC-1
54,SL18-CC-1_2
55,SL18-CC-5
56,SL18-CC-5_2
57,SL18-NC-12
58,SL18-NC-12_2
59,SL18-OD-5
60,SL18-OD-5_2
61,SA18-CB-9
62,SA18-CB-9_2
63,SL18-CC-12
64,SL18-CC-12_2
65,SL18-SF-17
66,SL18-SF-17_2
67,SL18-JS-5
68,SL18-JS-5_2
69,SA18-CB-2
70,SA18-CB-2_2
71,SL18-CC-3
72,SL18-CC-3_2
73,SL18-NC-10
74,SL18-NC-10_2
75,SL18-CC-8
76,SL18-CC-8_2
77,SL18-NC-5
78,SL18-NC-5_2
79,SL18-CC-6
80,SL18-CC-6_2
81,SL18-NL-7
82,SL18-NL-7_2
83,SL18-JS-19
84,SL18-JS-19_2
85,SL18-NC-15
86,SL18-NC-15_2
87,SL18-JS-9
88,SL18-JS-9_2
89,SL18-NL-5
90,SL18-NL-5_2
91,SL18-NC-8
92,SL18-NC-8_2
93,SL18-SF-19
94,SL18-SF-19_2
95,SL18-OI-4
96,SL18-OI-4_2
97,SL18-OI-14
98,SL18-OI-14_2
99,SL18-SF-15
100,SL18-SF-15_2
101,SA18-CB-5
102,SA18-CB-5_2
103,SL18-OI-7
104,SL18-OI-7_2
105,SA18-CB-1
106,SA18-CB-1_2
107,SA18-CB-3
108,SA18-CB-3_2
109,SL18-CC-4
110,SL18-CC-4_2
111,SL18-NC-1
112,SL18-NC-1_2
113,SL18-JS-6
114,SL18-JS-6_2
115,SL18-OD-6
116,SL18-OD-6_2
117,SL18-NC-9
118,SL18-NC-9_2
119,SL18-NC-2
120,SL18-NC-2_2
121,SL18-JS-11
122,SL18-JS-11_2
123,SL18-OD-3
124,SL18-OD-3_2
125,SL18-CC-7
126,SL18-CC-7_2
127,SL18-NC-11
128,SL18-NC-11_2
129,SL18-LD-5
130,SL18-LD-5_2
131,SL18-OI-5
132,SL18-OI-5_2
133,SL18-CC-11
134,SL18-CC-11_2
135,SL18-CC-9
136,SL18-CC-9_2
137,SL18-CC-10
138,SL18-CC-10_2
139,SL18-CC-2
140,SL18-CC-2_2
141,SL18-FW-2
142,SL18-FW-2_2
143,SL18-PI-1
144,SL18-PI-1_2
145,SL18-TI-1
146,SL18-TI-1_2
147,SL18-TI-2
148,SL18-TI-2_2
149,SL18-TI-3
150,SL18-TI-3_2
151,SL18-TI-4
152,SL18-TI-4_2
153,SL18-BL-10
154,SL18-BL-10_2
155,SL18-BL-11
156,SL18-BL-11_2
157,SL18-BL-12
158,SL18-BL-12_2
159,SL18-BL-17
160,SL18-BL-17_2
161,SL18-OD-10
162,SL18-OD-10_2
163,SL18-FW-14
164,SL18-FW-14_2
165,SL18-FI-1
166,SL18-FI-1_2
167,SL18-BL-18
168,SL18-BL-18_2
169,SL18-FW-21
170,SL18-FW-21_2
171,SL18-FI-2
172,SL18-FI-2_2
173,SL18-FW-12
174,SL18-FW-12_2
175,SL18-BL-14
176,SL18-BL-14_2
177,SL18-BL-16
178,SL18-BL-16_2
179,SL18-BL-15
180,SL18-BL-15_2
181,SL18-SF-18
182,SL18-SF-18_2
183,SL18-BL-13
184,SL18-BL-13_2
185,SL18-TI-5
186,SL18-TI-5_2
187,SL18-CB-2
188,SL18-CB-2_2
189,SL18-CB-3
190,SL18-CB-3_2
191,SL18-CB-4
192,SL18-CB-4_2
193,SL18-CB-7
194,SL18-CB-7_2
195,SL18-TI-6
196,SL18-TI-6_2
197,SL18-OD-1
198,SL18-OD-1_2
199,SL18-OD-4
200,SL18-OD-4_2
201,SL19-LR-5
202,SL19-LR-5_2
203,SL19-LR-2
204,SL19-LR-2_2
205,SL18-DB-6
206,SL18-DB-6_2
207,SL18-CB-10
208,SL18-CB-10_2
209,SA18-CB-10-FG1
210,SL18-LD-10-FG1
211,SL18-NL-6-FG1
212,SL18-LD-10-FG2
213,SL18-NL-9-FG2
214,SL18-OI-15-FG1
215,SL18-OI-16-FG3
216,SL18-LD-13-FG2
217,SL18-OI-17-FG1
218,SL18-OI-18-FG1
