crossID,Order_1,Year,plotNo,Region,plotNo_Numeric,date,GrowDays,Paint2Plant,femaPar,femaParLoc,malePar,maleParLoc,Crosses,CrossLoc,PlantingDens,development,line,position,block,PhotoScore,wetWgtPlot,lengthPlot,wetWgtPerM,percDryWgt,dryWgtPerM,AshFreedryWgtPerM,densityBlades,Carbon,Hydrogen,Nitrogen,Sulphur,Oxygen,Ash,Moisture,HHV,LHV,Total Sugars,Mannuronic,Guluronic,Glucuronic,Mannitol,Fucose,Glucan,Xylan,Mannan,Galactan
SL18-UCONN-S94,93,2019,2019_94,GOM,94,5_29_2019,122,,SL18-NL-6-FG1,NL,SA18-CB-3-MG3,CB,SL18-NL-6-FG1xSA18-CB-3-MG3,NL X CB,3,4,2,10,2,3,7.62,1.08,7.055555556,6.24,0.48,0.215184,620,22.88,2.7,2.2,0.6,16.46,55.17,6.18,8.31*,7.72*,7.47,NA,NA,NA,0,0.63,5.47,0.13,0.39,0.85
SL19-UCONN-S278,398,2020,2020_278,GOM,278,6_9_2020,185,,SL18-SF-17-FG2,SF,SA18-CB-7-MG3,CB,SL18-SF-17-FG2xSA18-CB-7-MG3,SF X CB,3,1,5,48,8,3,15.75,1.06,14.85,11.64,1.729189987,1.066910222,310,28.41,3.66,1.15,0.62,27.85,38.3,11.32,11.05*,10.25*,7.77,NA,NA,NA,0,0,6.43,0.28,0.39,0.67
SL18-UCONN-S5,5,2019,2019_5,GOM,5,5_30_2019,122,,SA18-CB-7-FG1,CB,SL18-LL-9-MG3,LL,SA18-CB-7-FG1xSL18-LL-9-MG3,CB X LL,3,4,2,38,7,3,4.66,0.86,5.418604651,8.13,0.38,0.185858,240,NA,NA,NA,NA,NA,51.09,8.47,NA,NA,9.22,NA,NA,NA,1.66,0.34,5.57,0.35,0.38,0.92
SL18-UCONN-S143,142,2019,2019_143,GOM,143,5_29_2019,122,,SL18-OI-17-FG1,OI,SL18-SF-13-MG2,SF,SL18-OI-17-FG1xSL18-SF-13-MG2,OI X SF,3,4,2,15,3,3,5.39,0.84,6.416666667,8,0.43,0.223815,440,NA,NA,NA,NA,NA,47.95,8.74,NA,NA,10.09,NA,NA,NA,1.43,0.95,5.95,0.42,0.44,0.89
SL18-UCONN-S87,86,2019,2019_87,GOM,87,5_31_2019,122,,SL18-NL-3-FG2,NL,SL18-SF-17-MG2,SF,SL18-NL-3-FG2xSL18-SF-17-MG2,NL X SF,2,4,4,48,8,3,6.16,0.87,7.08045977,7.45,0.46,0.211416,480,NA,NA,NA,NA,NA,54.04,7.23,NA,NA,10.22,NA,NA,NA,0,1,7.57,0.3,0.42,0.87
SL18-UCONN-S136,135,2019,2019_136,GOM,136,5_30_2019,122,,SL18-OI-16-FG3,OI,SA18-CB-4-MG3,CB,SL18-OI-16-FG3xSA18-CB-4-MG3,OI X CB,2,4,3,10,2,3,4.84,0.81,5.975308642,8.75,0.42,0.220038,480,NA,NA,NA,NA,NA,47.61,8.86,NA,NA,10.35,NA,NA,NA,3.51,0.68,5.97,0.19,0,0
SL18-UCONN-S157,155,2019,2019_157,GOM,157,5_31_2019,122,,SL18-OI-18-FG5,OI,SL18-SF-15-MG2,SF,SL18-OI-18-FG5xSL18-SF-15-MG2,OI X SF,2,4,3,54,9,3,4.94,0.92,5.369565217,10.32,0.51,0.268566,220,25.48,3.1,2.15,0.74,21.18,47.34,8.7,9.57*,8.88*,10.79,NA,NA,NA,2.91,0.62,5.82,0.24,0.42,0.78
SL18-UCONN-S194,192,2019,2019_194,GOM,194,5_31_2019,122,,SL18-SF-17-FG3,SF,SL18-LD-2-MG1,LD,SL18-SF-17-FG3xSL18-LD-2-MG1,SF X LD,2,1,4,35,6,2,1.59,0.92,1.72826087,9.29,0.15,0.083595,240,NA,NA,NA,NA,NA,44.27,9.12,NA,NA,11.68,NA,NA,NA,3.91,0.56,5.74,0.24,0.43,0.78
SL18-UCONN-S101,100,2019,2019_101,GOM,101,5_30_2019,122,,SL18-NL-6-FG1,NL,SL18-OI-14-MG2,OI,SL18-NL-6-FG1xSL18-OI-14-MG2,NL X OI,3,4,1,8,2,3,5.18,0.9,5.755555556,9.18,0.48,0.251952,340,NA,NA,NA,NA,NA,47.51,8.16,NA,NA,11.85,NA,NA,NA,3.88,0.9,5.75,0.16,0.37,0.79
SL18-UCONN-S76,75,2019,2019_76,GOM,76,5_30_2019,122,,SL18-NL-2-FG1,NL,SL18-SF-17-MG1,SF,SL18-NL-2-FG1xSL18-SF-17-MG1,NL X SF,1,4,3,12,2,3,3.54,0.88,4.022727273,11.91,0.42,0.231966,220,NA,NA,NA,NA,NA,44.77,9.35,NA,NA,11.92,NA,NA,NA,3.84,0.52,5.99,0.29,0.43,0.85
