,fndrs58,fndrs47
1,SL18-OI-4,SL18-OI-4
2,SL18-OI-5,SL18-OI-5
3,SL18-OI-6,SL18-OI-6
4,SL18-OI-11,SL18-OI-11
5,SL18-OI-15,SL18-OI-15
6,SL18-OI-16,SL18-OI-16
7,SL18-OI-17,SL18-OI-17
8,SL18-OI-18,SL18-OI-18
9,SL18-LD-1,SL18-LD-1
10,SL18-LD-3,SL18-LD-3
11,SL18-LD-4,SL18-LD-4
12,SL18-LD-5,SL18-LD-5
13,SL18-LD-9,SL18-LD-9
14,SL18-LD-10,SL18-LD-10
15,SL18-LD-13,SL18-LD-13
16,SL18-FW-2,SL18-CC-1
17,SL18-FI-1,SL18-CC-2
18,SL18-FI-2,SL18-CC-3
19,SL18-CC-1,SL18-CC-4
20,SL18-CC-2,SL18-CC-5
21,SL18-CC-3,SL18-CC-6
22,SL18-CC-4,SL18-CC-7
23,SL18-CC-5,SL18-CC-8
24,SL18-CC-6,SL18-CC-9
25,SL18-CC-7,SL18-CC-10
26,SL18-CC-8,SL18-CC-11
27,SL18-CC-9,SL18-CC-12
28,SL18-CC-10,SL18-NC-2
29,SL18-CC-11,SL18-NC-1
30,SL18-CC-12,SL18-NC-5
31,SL18-FW-14,SL18-JS-6
32,SL18-NC-2,SL18-JS-5
33,SL18-NC-1,SL18-JS-9
34,SL18-NC-5,SL18-NC-8
35,SL18-JS-6,SL18-NC-10
36,SL18-JS-5,SL18-NC-9
37,SL18-JS-9,SL18-NC-12
38,SL18-NC-8,SL18-NL-2
39,SL18-NC-10,SL18-NL-3
40,SL18-NC-9,SL18-NL-5
41,SL18-NC-12,SL18-NL-7
42,SL18-NL-2,SL18-NL-6
43,SL18-NL-3,SL18-NL-9
44,SL18-NL-5,SL18-NL-10
45,SL18-NL-7,SL18-JS-19
46,SL18-NL-6,SL18-JS-16
47,SL18-NL-9,SL18-JS-11
48,SL18-NL-10,
49,SL18-JS-19,
50,SL18-JS-16,
51,SL18-JS-11,
52,SL18-BL-10,
53,SL18-BL-11,
54,SL18-BL-12,
55,SL18-BL-13,
56,SL18-BL-14,
57,SL18-BL-15,
58,SL18-BL-16,
