,wetWgtPerM,percDryWgt,dryWgtPerM,densityBlades,Year.x,plotNo.x,Crosses.x,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter,Year.y,plotNo.y,Crosses.y,Order
2020_121,13.60065598,-0.914098168,1.448803391,603.1328267,2019,2020_121,SL18-CC-11-FG3xSA18-CB-3-MG3,187.1868064,-4.6228528,-0.013789933,8.029579455,0.784976757,2019,2020_121,SL18-CC-11-FG3xSA18-CB-3-MG3,
2020_278,12.19317849,-0.392526005,1.376825917,158.616604,2019,2020_278,SL18-SF-17-FG2xSA18-CB-7-MG3,106.8326046,-4.357743906,0.367211561,51.50063568,3.432233918,2019,2020_278,SL18-SF-17-FG2xSA18-CB-7-MG3,
2020_172,8.027269158,0.525494213,1.001063563,64.85817555,2019,2020_172,SL18-CC-8-FG2xSL18-JS-5-MG3,38.20903396,1.779260894,0.404158415,-0.972352547,0.910447072,2019,2020_172,SL18-CC-8-FG2xSL18-JS-5-MG3,
2020_53,10.00430254,-2.344284447,0.938749712,-29.44798619,2019,2020_53,SA18-CB-2-FG3xSL18-CC-2-MG5,49.35825326,-6.291857307,0.050613434,1.083770627,0.642529257,2019,2020_53,SA18-CB-2-FG3xSL18-CC-2-MG5,
2020_279,5.303414193,1.643674514,0.766127548,-31.24120169,2019,2020_279,SA18-CB-4-FG6xSL18-JS-6-MG3,30.51003935,-5.872291193,0.574683104,-4.427659512,1.260972779,2019,2020_279,SA18-CB-4-FG6xSL18-JS-6-MG3,
2020_185,4.703890109,2.202723573,0.762054018,38.06224574,2019,2020_185,SL18-OI-6-FG2xSL18-LD-2-MG2,-8.118320231,0.177612405,0.028336574,15.92981974,0.714952002,2019,2020_185,SL18-OI-6-FG2xSL18-LD-2-MG2,
2020_156,6.824636864,-0.772166525,0.743244263,13.19971605,2019,2020_156,SL18-OI-17-FG4xSL18-JS-6-MG2,-9.047387192,1.538418001,0.128141291,19.28961049,3.625085081,2019,2020_156,SL18-OI-17-FG4xSL18-JS-6-MG2,
2020_63,5.278614834,0.041516634,0.656171624,41.76679922,2019,2020_63,SL18-SF-13-FG2xSA18-CB-2-MG3,69.77639735,0.095319744,0.268241965,20.82601037,3.249085721,2019,2020_63,SL18-SF-13-FG2xSA18-CB-2-MG3,
2020_10,5.374308294,-0.992900518,0.62198912,5.005787453,2019,2020_10,SL18-OI-11-FG3xSL18-CC-1-MG3,-9.421032326,6.724747091,0.321113823,15.28252753,3.276270511,2019,2020_10,SL18-OI-11-FG3xSL18-CC-1-MG3,
2020_77,5.960891012,-1.562993342,0.585179571,291.5112674,2019,2020_77,SL18-CC-12-FG2xSL18-LL-9-MG4,28.49023302,0.954704422,0.160693036,36.30302014,2.016126498,2019,2020_77,SL18-CC-12-FG2xSL18-LL-9-MG4,
